layer,E1,E2,v12,v23,G12,G13,G23,d31,d32,angle,hE,q31,q32,g33,k33,r33,A1,A2,PyroE,PyroM,Cv,HC,Density,zC1,zC2,IsSmtLay
1,196600000000.0,196600000000.0,0.3145,0.0,45260000000.0,45260000000.0,45260000000.0,-8.106e-12,-8.106e-12,0.0,0.0006,500.4,500.4,1.46e-09,2.633e-09,0.001346,1883000.0,1883000.0,3.738e-05,0.000885,204.0,1.0,5345.0,-0.003,-0.0024,2.0
2,199600000000.0,199600000000.0,0.3135,0.0,45260000000.0,45260000000.0,45260000000.0,-6.305e-12,-6.305e-12,0.0,0.0006,518.1,518.1,1.156e-09,2.048e-09,0.001396,1865000.0,1865000.0,2.907e-05,0.0006883,195.4,1.0,5335.0,-0.0024,-0.0018,2.0
3,202600000000.0,202600000000.0,0.3125,0.0,45280000000.0,45280000000.0,45280000000.0,-4.503e-12,-4.503e-12,0.0,0.0006,535.8,535.8,8.522e-10,1.463e-09,0.001445,1846000.0,1846000.0,2.077e-05,0.0004917,186.7,1.0,5325.0,-0.0018,-0.0012,2.0
4,205500000000.0,205500000000.0,0.3115,0.0,45280000000.0,45280000000.0,45280000000.0,-2.702e-12,-2.702e-12,0.0,0.0006,553.5,553.5,5.485e-10,8.775e-10,0.001495,1828000.0,1828000.0,1.246e-05,0.000295,178.0,1.0,5315.0,-0.0012,-0.0006,2.0
5,208500000000.0,208500000000.0,0.3105,0.0,45300000000.0,45300000000.0,45300000000.0,-9.007e-13,-9.007e-13,0.0,0.0006,571.2,571.2,2.448e-10,2.925e-10,0.001545,1809000.0,1809000.0,4.153e-06,9.833e-05,169.3,1.0,5305.0,-0.0006,0.0,2.0
6,208500000000.0,208500000000.0,0.3105,0.0,45300000000.0,45300000000.0,45300000000.0,-9.007e-13,-9.007e-13,0.0,0.0006,571.2,571.2,2.448e-10,2.925e-10,0.001545,1809000.0,1809000.0,4.153e-06,9.833e-05,169.3,1.0,5305.0,0.0,0.0006,2.0
7,205500000000.0,205500000000.0,0.3115,0.0,45280000000.0,45280000000.0,45280000000.0,-2.702e-12,-2.702e-12,0.0,0.0006,553.5,553.5,5.485e-10,8.775e-10,0.001495,1828000.0,1828000.0,1.246e-05,0.000295,178.0,1.0,5315.0,0.0006,0.0012,2.0
8,202600000000.0,202600000000.0,0.3125,0.0,45280000000.0,45280000000.0,45280000000.0,-4.503e-12,-4.503e-12,0.0,0.0006,535.8,535.8,8.522e-10,1.463e-09,0.001445,1846000.0,1846000.0,2.077e-05,0.0004917,186.7,1.0,5325.0,0.0012,0.0018,2.0
9,199600000000.0,199600000000.0,0.3135,0.0,45260000000.0,45260000000.0,45260000000.0,-6.305e-12,-6.305e-12,0.0,0.0006,518.1,518.1,1.156e-09,2.048e-09,0.001396,1865000.0,1865000.0,2.907e-05,0.0006883,195.4,1.0,5335.0,0.0018,0.0024,2.0
10,196600000000.0,196600000000.0,0.3145,0.0,45260000000.0,45260000000.0,45260000000.0,-8.106e-12,-8.106e-12,0.0,0.0006,500.4,500.4,1.46e-09,2.633e-09,0.001346,1883000.0,1883000.0,3.738e-05,0.000885,204.0,1.0,5345.0,0.0024,0.003,2.0
