layer,E1,E2,v12,v23,G12,G13,G23,d31,d32,angle,hE,q31,q32,g33,k33,r33,A1,A2,PyroE,PyroM,Cv,HC,Density,zC1,zC2
1,205530000000.0,205530000000.0,0.31149,0.0,45285000000.0,45285000000.0,45285000000.0,-2.7019999999999996e-12,-2.7019999999999996e-12,0.0,0.0006,553.4735000000001,553.4735000000001,5.484999999999999e-10,8.774999999999999e-10,0.001495268,1827800.0,1827800.0,1.2459999999999996e-05,0.0002949999999999999,178.01116,1.0,5315.0,-0.003,-0.0024000000000000002
2,196590000000.0,196590000000.0,0.31447,0.0,45255000000.0,45255000000.0,45255000000.0,-8.106e-12,-8.106e-12,0.0,0.0006,500.42050000000006,500.42050000000006,1.4594999999999998e-09,2.6324999999999997e-09,0.001345804,1883400.0,1883400.0,3.737999999999999e-05,0.0008849999999999998,204.03348,1.0,5345.0,-0.0024000000000000002,-0.0018
3,187650000000.0,187650000000.0,0.31745,0.0,45225000000.0,45225000000.0,45225000000.0,-1.351e-11,-1.351e-11,0.0,0.0006,447.3675,447.3675,2.3705e-09,4.3875e-09,0.00119634,1939000.0,1939000.0,6.23e-05,0.001475,230.05580000000003,1.0,5375.0,-0.0018,-0.0012
4,178710000000.0,178710000000.0,0.32043,0.0,45195000000.0,45195000000.0,45195000000.0,-1.8914000000000004e-11,-1.8914000000000004e-11,0.0,0.0006,394.3145,394.3145,3.2815000000000003e-09,6.142500000000001e-09,0.001046876,1994600.0,1994600.0,8.722000000000001e-05,0.002065,256.07812,1.0,5405.0,-0.0012,-0.0005999999999999998
5,169770000000.0,169770000000.0,0.32341000000000003,0.0,45165000000.0,45165000000.0,45165000000.0,-2.4318000000000002e-11,-2.4318000000000002e-11,0.0,0.0006,341.26149999999996,341.26149999999996,4.1925e-09,7.897500000000002e-09,0.0008974119999999999,2050200.0,2050200.0,0.00011214000000000001,0.0026550000000000002,282.10044000000005,1.0,5435.0,-0.0005999999999999998,0.0
6,160830000000.0,160830000000.0,0.32638999999999996,0.0,45135000000.0,45135000000.0,45135000000.0,-2.9722000000000006e-11,-2.9722000000000006e-11,0.0,0.0005999999999999998,288.20849999999996,288.20849999999996,5.103500000000001e-09,9.652500000000002e-09,0.0007479479999999998,2105800.0,2105800.0,0.00013706,0.003245,308.12276,1.0,5465.0,0.0,0.0006000000000000003
7,151889999999.99997,151889999999.99997,0.32937,0.0,45105000000.0,45105000000.0,45105000000.0,-3.512600000000001e-11,-3.512600000000001e-11,0.0,0.0006,235.1554999999999,235.1554999999999,6.014500000000001e-09,1.1407500000000003e-08,0.0005984839999999996,2161400.0,2161400.0,0.00016198000000000002,0.0038350000000000003,334.14508000000006,1.0,5495.0,0.0006000000000000003,0.0012000000000000005
8,142950000000.0,142950000000.0,0.33235000000000003,0.0,45075000000.0,45075000000.0,45075000000.0,-4.053e-11,-4.053e-11,0.0,0.0006,182.1025,182.1025,6.925499999999999e-09,1.3162500000000001e-08,0.00044902000000000006,2217000.0,2217000.0,0.00018689999999999996,0.004424999999999999,360.16740000000004,1.0,5525.0,0.0012000000000000005,0.0018000000000000004
9,134010000000.0,134010000000.0,0.33533,0.0,45045000000.0,45045000000.0,45045000000.0,-4.5934000000000005e-11,-4.5934000000000005e-11,0.0,0.0006,129.04949999999997,129.04949999999997,7.836499999999999e-09,1.49175e-08,0.00029955599999999987,2272600.0,2272600.0,0.00021182,0.0050149999999999995,386.1897200000001,1.0,5555.0,0.0018000000000000004,0.0024000000000000002
10,125070000000.00002,125070000000.00002,0.33831,0.0,45015000000.0,45015000000.0,45015000000.0,-5.1337999999999996e-11,-5.1337999999999996e-11,0.0,0.0006,75.99650000000003,75.99650000000003,8.7475e-09,1.66725e-08,0.000150092,2328200.0,2328200.0,0.00023673999999999996,0.005604999999999999,412.21204,1.0,5585.0,0.0024000000000000002,0.003
