layer,E1,E2,v12,v23,G12,G13,G23,d31,d32,angle,hE,q31,q32,g33,k33,r33,A1,A2,PyroE,PyroM,Cv,HC,Density,zC1,zC2
1,129540000000.0,129540000000.0,0.33682,0.0,45030000000.0,45030000000.0,45030000000.0,-4.8636000000000004e-11,-4.8636000000000004e-11,0.0,0.0006,102.52299999999994,102.52299999999994,8.292e-09,1.5795000000000003e-08,0.00022482399999999988,2300400.0,2300400.0,0.00022428000000000001,0.0053100000000000005,399.20088000000004,1.0,5570.0,-0.003,-0.0024000000000000002
2,147420000000.0,147420000000.0,0.33086000000000004,0.0,45090000000.0,45090000000.0,45090000000.0,-3.782800000000001e-11,-3.782800000000001e-11,0.0,0.0006,208.62899999999996,208.62899999999996,6.47e-09,1.2285000000000002e-08,0.0005237519999999997,2189200.0,2189200.0,0.00017444000000000002,0.00413,347.15624,1.0,5510.0,-0.0024000000000000002,-0.0018
3,165300000000.0,165300000000.0,0.3249,0.0,45150000000.0,45150000000.0,45150000000.0,-2.702e-11,-2.702e-11,0.0,0.0006,314.735,314.735,4.648e-09,8.775e-09,0.0008226799999999999,2078000.0,2078000.0,0.0001246,0.00295,295.1116,1.0,5450.0,-0.0018,-0.0012
4,183180000000.0,183180000000.0,0.31894,0.0,45210000000.0,45210000000.0,45210000000.0,-1.6212e-11,-1.6212e-11,0.0,0.0006000000000000001,420.841,420.841,2.8259999999999995e-09,5.2649999999999995e-09,0.001121608,1966800.0,1966800.0,7.475999999999998e-05,0.0017699999999999997,243.06696,1.0,5390.0,-0.0012,-0.0005999999999999998
5,201060000000.0,201060000000.0,0.31298,0.0,45270000000.0,45270000000.0,45270000000.0,-5.403999999999999e-12,-5.403999999999999e-12,0.0,0.0006,526.947,526.947,1.0039999999999998e-09,1.7549999999999998e-09,0.001420536,1855600.0,1855600.0,2.4919999999999992e-05,0.0005899999999999998,191.02232000000004,1.0,5330.0,-0.0005999999999999998,0.0
6,201060000000.0,201060000000.0,0.31298,0.0,45270000000.0,45270000000.0,45270000000.0,-5.4040000000000024e-12,-5.4040000000000024e-12,0.0,0.0006,526.9469999999999,526.9469999999999,1.0040000000000003e-09,1.755000000000001e-09,0.001420536,1855600.0,1855600.0,2.492000000000001e-05,0.0005900000000000002,191.02232,1.0,5330.0,0.0,0.0006000000000000003
7,183180000000.0,183180000000.0,0.31894,0.0,45210000000.0,45210000000.0,45210000000.0,-1.621200000000001e-11,-1.621200000000001e-11,0.0,0.0006,420.84099999999995,420.84099999999995,2.826000000000001e-09,5.265000000000003e-09,0.0011216079999999998,1966800.0000000002,1966800.0000000002,7.476000000000002e-05,0.0017700000000000007,243.06696000000005,1.0,5390.0,0.0006000000000000003,0.0012000000000000005
8,165300000000.0,165300000000.0,0.3249,0.0,45150000000.0,45150000000.0,45150000000.0,-2.7020000000000007e-11,-2.7020000000000007e-11,0.0,0.0006,314.73499999999996,314.73499999999996,4.6480000000000005e-09,8.775000000000002e-09,0.0008226799999999999,2078000.0000000002,2078000.0000000002,0.00012460000000000002,0.0029500000000000004,295.11160000000007,1.0,5450.0,0.0012000000000000005,0.0018000000000000004
9,147420000000.0,147420000000.0,0.33086000000000004,0.0,45090000000.0,45090000000.0,45090000000.0,-3.782800000000001e-11,-3.782800000000001e-11,0.0,0.0006,208.62899999999996,208.62899999999996,6.47e-09,1.2285000000000002e-08,0.0005237519999999997,2189200.0,2189200.0,0.00017444000000000002,0.00413,347.15624,1.0,5510.0,0.0018000000000000004,0.0024000000000000002
10,129540000000.0,129540000000.0,0.33682,0.0,45030000000.0,45030000000.0,45030000000.0,-4.8636000000000004e-11,-4.8636000000000004e-11,0.0,0.0006,102.52299999999994,102.52299999999994,8.292e-09,1.5795000000000003e-08,0.00022482399999999988,2300400.0,2300400.0,0.00022428000000000001,0.0053100000000000005,399.20088000000004,1.0,5570.0,0.0024000000000000002,0.003
