layer,E1,E2,v12,v23,G12,G13,G23,d31,d32,angle,hE,q31,q32,g33,k33,r33,A1,A2,PyroE,PyroM,Cv,HC,Density,zC1,zC2
1,94850000000.0,94850000000.0,0.2343833333333333,0.0,31534999999.999996,31534999999.999996,31534999999.999996,-3.1523333333333336e-11,-3.1523333333333336e-11,0.0,0.0006,96.52416666666664,96.52416666666664,5.3792666666666665e-09,1.0237500000000002e-08,0.00022712666666666658,1584333.3333333333,1584333.3333333333,0.00014536666666666666,0.0034416666666666662,267.2968666666667,1.0,3884.9999999999995,-0.003,-0.0024000000000000002
2,94850000000.0,94850000000.0,0.2343833333333333,0.0,31534999999.999996,31534999999.999996,31534999999.999996,-3.1523333333333336e-11,-3.1523333333333336e-11,0.0,0.0006,96.52416666666664,96.52416666666664,5.3792666666666665e-09,1.0237500000000002e-08,0.00022712666666666658,1584333.3333333333,1584333.3333333333,0.00014536666666666666,0.0034416666666666662,267.2968666666667,1.0,3884.9999999999995,-0.0024000000000000002,-0.0018
3,94850000000.0,94850000000.0,0.2343833333333333,0.0,31534999999.999996,31534999999.999996,31534999999.999996,-3.1523333333333336e-11,-3.1523333333333336e-11,0.0,0.0006,96.52416666666664,96.52416666666664,5.3792666666666665e-09,1.0237500000000002e-08,0.00022712666666666658,1584333.3333333333,1584333.3333333333,0.00014536666666666666,0.0034416666666666662,267.2968666666667,1.0,3884.9999999999995,-0.0018,-0.0012
4,94850000000.0,94850000000.0,0.2343833333333333,0.0,31534999999.999996,31534999999.999996,31534999999.999996,-3.1523333333333336e-11,-3.1523333333333336e-11,0.0,0.0006,96.52416666666664,96.52416666666664,5.3792666666666665e-09,1.0237500000000002e-08,0.00022712666666666658,1584333.3333333333,1584333.3333333333,0.00014536666666666666,0.0034416666666666662,267.2968666666667,1.0,3884.9999999999995,-0.0012,-0.0005999999999999998
5,94850000000.0,94850000000.0,0.2343833333333333,0.0,31534999999.999996,31534999999.999996,31534999999.999996,-3.1523333333333336e-11,-3.1523333333333336e-11,0.0,0.0006,96.52416666666664,96.52416666666664,5.3792666666666665e-09,1.0237500000000002e-08,0.00022712666666666658,1584333.3333333333,1584333.3333333333,0.00014536666666666666,0.0034416666666666662,267.2968666666667,1.0,3884.9999999999995,-0.0005999999999999998,0.0
6,94850000000.0,94850000000.0,0.2343833333333333,0.0,31534999999.999996,31534999999.999996,31534999999.999996,-3.1523333333333336e-11,-3.1523333333333336e-11,0.0,0.0006,96.52416666666664,96.52416666666664,5.3792666666666665e-09,1.0237500000000002e-08,0.00022712666666666658,1584333.3333333333,1584333.3333333333,0.00014536666666666666,0.0034416666666666662,267.2968666666667,1.0,3884.9999999999995,0.0,0.0006000000000000003
7,94850000000.0,94850000000.0,0.2343833333333333,0.0,31534999999.999996,31534999999.999996,31534999999.999996,-3.1523333333333336e-11,-3.1523333333333336e-11,0.0,0.0006,96.52416666666664,96.52416666666664,5.3792666666666665e-09,1.0237500000000002e-08,0.00022712666666666658,1584333.3333333333,1584333.3333333333,0.00014536666666666666,0.0034416666666666662,267.2968666666667,1.0,3884.9999999999995,0.0006000000000000003,0.0012000000000000005
8,94850000000.0,94850000000.0,0.2343833333333333,0.0,31534999999.999996,31534999999.999996,31534999999.999996,-3.1523333333333336e-11,-3.1523333333333336e-11,0.0,0.0006,96.52416666666664,96.52416666666664,5.3792666666666665e-09,1.0237500000000002e-08,0.00022712666666666658,1584333.3333333333,1584333.3333333333,0.00014536666666666666,0.0034416666666666662,267.2968666666667,1.0,3884.9999999999995,0.0012000000000000005,0.0018000000000000004
9,94850000000.0,94850000000.0,0.2343833333333333,0.0,31534999999.999996,31534999999.999996,31534999999.999996,-3.1523333333333336e-11,-3.1523333333333336e-11,0.0,0.0006,96.52416666666664,96.52416666666664,5.3792666666666665e-09,1.0237500000000002e-08,0.00022712666666666658,1584333.3333333333,1584333.3333333333,0.00014536666666666666,0.0034416666666666662,267.2968666666667,1.0,3884.9999999999995,0.0018000000000000004,0.0024000000000000002
10,94850000000.0,94850000000.0,0.2343833333333333,0.0,31534999999.999996,31534999999.999996,31534999999.999996,-3.1523333333333336e-11,-3.1523333333333336e-11,0.0,0.0006,96.52416666666664,96.52416666666664,5.3792666666666665e-09,1.0237500000000002e-08,0.00022712666666666658,1584333.3333333333,1584333.3333333333,0.00014536666666666666,0.0034416666666666662,267.2968666666667,1.0,3884.9999999999995,0.0024000000000000002,0.003
