layer,E1,E2,v12,v23,G12,G13,G23,d31,d32,angle,hE,q31,q32,g33,k33,r33,A1,A2,PyroE,PyroM,Cv,HC,Density,zC1,zC2
1,114360000000.0,114360000000.0,0.26588000000000006,0.0,36060000000.0,36060000000.0,36060000000.0,-3.2424000000000005e-11,-3.2424000000000005e-11,0.0,0.0006000000000000001,145.682,145.682,5.5404000000000004e-09,1.0530000000000002e-08,0.00035921600000000004,1773600.0000000005,1773600.0000000005,0.00014952,0.00354,288.13392000000005,1.0,4420.0,-0.003,-0.0024000000000000002
2,126280000000.0,126280000000.0,0.2619066666666667,0.0,36100000000.0,36100000000.0,36100000000.0,-2.521866666666667e-11,-2.521866666666667e-11,0.0,0.0006,216.41933333333327,216.41933333333327,4.325733333333334e-09,8.190000000000001e-09,0.0005585013333333333,1699466.6666666665,1699466.6666666665,0.00011629333333333335,0.0027533333333333333,253.43749333333335,1.0,4380.0,-0.0024000000000000002,-0.0018
3,138200000000.0,138200000000.0,0.25793333333333335,0.0,36140000000.0,36140000000.0,36140000000.0,-1.8013333333333336e-11,-1.8013333333333336e-11,0.0,0.0006,287.1566666666667,287.1566666666667,3.1110666666666664e-09,5.850000000000001e-09,0.0007577866666666666,1625333.3333333335,1625333.3333333335,8.306666666666666e-05,0.0019666666666666665,218.74106666666668,1.0,4340.0,-0.0018,-0.0012
4,150120000000.00003,150120000000.00003,0.25396,0.0,36180000000.00001,36180000000.00001,36180000000.00001,-1.0808e-11,-1.0808e-11,0.0,0.0006000000000000001,357.89400000000006,357.89400000000006,1.8963999999999998e-09,3.5099999999999997e-09,0.0009570720000000002,1551200.0000000002,1551200.0000000002,4.983999999999999e-05,0.0011799999999999996,184.04464000000004,1.0,4300.000000000001,-0.0012,-0.0005999999999999998
5,162040000000.0,162040000000.0,0.2499866666666667,0.0,36220000000.0,36220000000.0,36220000000.0,-3.602666666666666e-12,-3.602666666666666e-12,0.0,0.0006,428.6313333333334,428.6313333333334,6.817333333333332e-10,1.1699999999999999e-09,0.0011563573333333334,1477066.6666666667,1477066.6666666667,1.661333333333333e-05,0.0003933333333333332,149.34821333333335,1.0,4260.0,-0.0005999999999999998,0.0
6,162040000000.0,162040000000.0,0.2499866666666667,0.0,36220000000.0,36220000000.0,36220000000.0,-3.602666666666669e-12,-3.602666666666669e-12,0.0,0.0006,428.6313333333334,428.6313333333334,6.817333333333336e-10,1.1700000000000007e-09,0.0011563573333333334,1477066.666666667,1477066.666666667,1.6613333333333343e-05,0.0003933333333333335,149.34821333333335,1.0,4260.0,0.0,0.0006000000000000003
7,150119999999.99997,150119999999.99997,0.25396,0.0,36180000000.0,36180000000.0,36180000000.0,-1.0808000000000008e-11,-1.0808000000000008e-11,0.0,0.0006,357.89399999999995,357.89399999999995,1.896400000000001e-09,3.5100000000000026e-09,0.0009570719999999998,1551200.0,1551200.0,4.9840000000000024e-05,0.0011800000000000005,184.04464000000004,1.0,4300.0,0.0006000000000000003,0.0012000000000000005
8,138200000000.0,138200000000.0,0.25793333333333335,0.0,36140000000.0,36140000000.0,36140000000.0,-1.8013333333333342e-11,-1.8013333333333342e-11,0.0,0.0006000000000000001,287.1566666666667,287.1566666666667,3.1110666666666672e-09,5.850000000000003e-09,0.0007577866666666666,1625333.3333333337,1625333.3333333337,8.306666666666669e-05,0.001966666666666667,218.7410666666667,1.0,4340.0,0.0012000000000000005,0.0018000000000000004
9,126280000000.0,126280000000.0,0.2619066666666667,0.0,36100000000.0,36100000000.0,36100000000.0,-2.521866666666667e-11,-2.521866666666667e-11,0.0,0.0006,216.41933333333327,216.41933333333327,4.325733333333334e-09,8.190000000000001e-09,0.0005585013333333333,1699466.6666666665,1699466.6666666665,0.00011629333333333335,0.0027533333333333333,253.43749333333335,1.0,4380.0,0.0018000000000000004,0.0024000000000000002
10,114360000000.0,114360000000.0,0.26588000000000006,0.0,36060000000.0,36060000000.0,36060000000.0,-3.2424000000000005e-11,-3.2424000000000005e-11,0.0,0.0006000000000000001,145.682,145.682,5.5404000000000004e-09,1.0530000000000002e-08,0.00035921600000000004,1773600.0000000005,1773600.0000000005,0.00014952,0.00354,288.13392000000005,1.0,4420.0,0.0024000000000000002,0.003
