case_id,fg_mode,vf0,load_case,input_file,w_center_mm,theta_mean_K,theta_min_K,theta_max_K,theta_span_K,magnetoelectric_efficiency,load_scale,volt,magnetic,status,message,output_mat
CFCF_U_Vf10_elastic,U,0.1,elastic,cases/cfcf/Thermal_CFCF_U_Vf0.1-30x30-10layer.txt,-0.073973346256371,7.28583859910259e-18,-0.0198601530134988,0.0198601530134988,0.0397203060269976,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_CFCF_U_Vf10_elastic.mat
CFCF_U_Vf10_electro,U,0.1,electro,cases/cfcf/Thermal_CFCF_U_Vf0.1-30x30-10layer.txt,0.0009976497646953,3.1225022567582498e-18,-0.01005046642943,0.0100504664294301,0.0201009328588601,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_CFCF_U_Vf10_electro.mat
CFCF_U_Vf10_magneto,U,0.1,magneto,cases/cfcf/Thermal_CFCF_U_Vf0.1-30x30-10layer.txt,-0.127453527246681,-4.66293670342566e-16,-1.28398506393395,1.28398506393395,2.5679701278679,1.71778651079323,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_CFCF_U_Vf10_magneto.mat
CFCF_U_Vf30_elastic,U,0.3,elastic,cases/cfcf/Thermal_CFCF_U_Vf0.3-30x30-10layer.txt,-0.08683280158189,1.76941794549634e-17,-0.0177972513388568,0.0177972513388568,0.0355945026777136,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_CFCF_U_Vf30_elastic.mat
CFCF_U_Vf30_electro,U,0.3,electro,cases/cfcf/Thermal_CFCF_U_Vf0.3-30x30-10layer.txt,0.0027788891694046,1.21430643318376e-17,-0.0228466501692004,0.0228466501692004,0.0456933003384008,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_CFCF_U_Vf30_electro.mat
CFCF_U_Vf30_magneto,U,0.3,magneto,cases/cfcf/Thermal_CFCF_U_Vf0.3-30x30-10layer.txt,-0.0881224615093498,-4.10782519111308e-16,-0.724499225200604,0.724499225200604,1.44899845040121,1.10726991292069,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_CFCF_U_Vf30_magneto.mat
CFCF_U_Vf50_elastic,U,0.5,elastic,cases/cfcf/Thermal_CFCF_U_Vf0.5-30x30-10layer.txt,-0.104555240839747,4.8572257327350596e-18,-0.0177903013061647,0.0177903013061647,0.0355806026123294,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_CFCF_U_Vf50_elastic.mat
CFCF_U_Vf50_electro,U,0.5,electro,cases/cfcf/Thermal_CFCF_U_Vf0.5-30x30-10layer.txt,0.0041426468076899,-4.16333634234434e-18,-0.030819151240908,0.030819151240908,0.061638302481816,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_CFCF_U_Vf50_electro.mat
CFCF_U_Vf50_magneto,U,0.5,magneto,cases/cfcf/Thermal_CFCF_U_Vf0.5-30x30-10layer.txt,-0.0415204367762844,7.21644966006352e-17,-0.308890590967165,0.308890590967166,0.617781181934331,0.489635306959676,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_CFCF_U_Vf50_magneto.mat
CFCF_U_Vf70_elastic,U,0.7,elastic,cases/cfcf/Thermal_CFCF_U_Vf0.7-30x30-10layer.txt,-0.131219686054836,-1.42247325030098e-17,-0.0192898065454294,0.0192898065454294,0.0385796130908588,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_CFCF_U_Vf70_elastic.mat
CFCF_U_Vf70_electro,U,0.7,electro,cases/cfcf/Thermal_CFCF_U_Vf0.7-30x30-10layer.txt,0.0049034768923222,-2.63677968348475e-17,-0.0357876596108349,0.0357876596108349,0.0715753192216698,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_CFCF_U_Vf70_electro.mat
CFCF_U_Vf70_magneto,U,0.7,magneto,cases/cfcf/Thermal_CFCF_U_Vf0.7-30x30-10layer.txt,0.0125179769207018,-6.938893903907231e-17,-0.0913615189573604,0.0913615189573603,0.182723037914721,0.141175600549814,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_CFCF_U_Vf70_magneto.mat
CFCF_U_Vf90_elastic,U,0.9,elastic,cases/cfcf/Thermal_CFCF_U_Vf0.9-30x30-10layer.txt,-0.176420090478279,9.714451465470119e-18,-0.0226908270618577,0.0226908270618577,0.0453816541237153,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_CFCF_U_Vf90_elastic.mat
CFCF_U_Vf90_electro,U,0.9,electro,cases/cfcf/Thermal_CFCF_U_Vf0.9-30x30-10layer.txt,0.0047850187960611,1.17961196366423e-17,-0.0377135759117246,0.0377135759117246,0.0754271518234492,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_CFCF_U_Vf90_electro.mat
