case_id,fg_mode,vf0,e0,porosity_name,porosity_mode,load_case,input_file,w_center_mm,theta_mean_K,theta_min_K,theta_max_K,theta_span_K,magnetoelectric_efficiency,load_scale,volt,magnetic,status,message,output_mat
U_Vf10_e00_Even_elastic,U,0.1,0.0,Even,1,elastic,cases/porous/Porous_CFFF_U_Vf0.1_e00_Even-30x30-10layer.txt,-1.35667112293398,-2.02060590481778e-15,-1.16476974969839,1.16476974969838,2.32953949939677,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf10_e00_Even_elastic.mat
U_Vf10_e00_Even_electro,U,0.1,0.0,Even,1,electro,cases/porous/Porous_CFFF_U_Vf0.1_e00_Even-30x30-10layer.txt,-0.0084504467203211,-1.59594559789866e-17,-0.0316349512205003,0.0316349512205003,0.0632699024410006,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf10_e00_Even_electro.mat
U_Vf10_e00_Even_magneto,U,0.1,0.0,Even,1,magneto,cases/porous/Porous_CFFF_U_Vf0.1_e00_Even-30x30-10layer.txt,1.07957650011938,2.30926389122033e-15,-4.04148455701579,4.04148455701579,8.08296911403158,5.40692244063206,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf10_e00_Even_magneto.mat
U_Vf30_e00_Even_elastic,U,0.3,0.0,Even,1,elastic,cases/porous/Porous_CFFF_U_Vf0.3_e00_Even-30x30-10layer.txt,-1.59071475196702,6.88338275267597e-16,-1.05914815387669,1.05914815387669,2.11829630775337,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf30_e00_Even_elastic.mat
U_Vf30_e00_Even_electro,U,0.3,0.0,Even,1,electro,cases/porous/Porous_CFFF_U_Vf0.3_e00_Even-30x30-10layer.txt,-0.0257671886411594,3.7470027081099e-17,-0.0733860218090807,0.0733860218090808,0.146772043618161,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf30_e00_Even_electro.mat
U_Vf30_e00_Even_magneto,U,0.3,0.0,Even,1,magneto,cases/porous/Porous_CFFF_U_Vf0.3_e00_Even-30x30-10layer.txt,0.817113584188816,-1.11022302462516e-15,-2.32717337323893,2.32717337323893,4.65434674647786,3.55667607184001,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf30_e00_Even_magneto.mat
U_Vf50_e00_Even_elastic,U,0.5,0.0,Even,1,elastic,cases/porous/Porous_CFFF_U_Vf0.5_e00_Even-30x30-10layer.txt,-1.9131032144379,-8.21565038222616e-16,-1.07144361281331,1.0714436128133,2.14288722562661,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf50_e00_Even_elastic.mat
U_Vf50_e00_Even_electro,U,0.5,0.0,Even,1,electro,cases/porous/Porous_CFFF_U_Vf0.5_e00_Even-30x30-10layer.txt,-0.0433953642985694,-4.44089209850063e-17,-0.101412780512126,0.101412780512126,0.202825561024252,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf50_e00_Even_electro.mat
U_Vf50_e00_Even_magneto,U,0.5,0.0,Even,1,magneto,cases/porous/Porous_CFFF_U_Vf0.5_e00_Even-30x30-10layer.txt,0.434937990959423,4.2188474935755897e-16,-1.01642817673314,1.01642817673314,2.03285635346628,1.61118252504524,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf50_e00_Even_magneto.mat
U_Vf70_e00_Even_elastic,U,0.7,0.0,Even,1,elastic,cases/porous/Porous_CFFF_U_Vf0.7_e00_Even-30x30-10layer.txt,-2.39618190365557,-2.6423307986078703e-15,-1.18336135153558,1.18336135153557,2.36672270307115,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf70_e00_Even_elastic.mat
U_Vf70_e00_Even_electro,U,0.7,0.0,Even,1,electro,cases/porous/Porous_CFFF_U_Vf0.7_e00_Even-30x30-10layer.txt,-0.0610890543438299,-1.42941214420489e-16,-0.121714088709977,0.121714088709977,0.243428177419954,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf70_e00_Even_electro.mat
U_Vf70_e00_Even_magneto,U,0.7,0.0,Even,1,magneto,cases/porous/Porous_CFFF_U_Vf0.7_e00_Even-30x30-10layer.txt,-0.155952885901855,-3.77475828372553e-16,-0.310721185561213,0.310721185561212,0.621442371122425,0.480139236691404,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf70_e00_Even_magneto.mat
U_Vf90_e00_Even_elastic,U,0.9,0.0,Even,1,elastic,cases/porous/Porous_CFFF_U_Vf0.9_e00_Even-30x30-10layer.txt,-3.20991999537892,-2.66453525910038e-15,-1.44042100410355,1.44042100410354,2.88084200820709,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf90_e00_Even_elastic.mat
U_Vf90_e00_Even_electro,U,0.9,0.0,Even,1,electro,cases/porous/Porous_CFFF_U_Vf0.9_e00_Even-30x30-10layer.txt,-0.0782418831995812,-1.2490009027033e-16,-0.13484340494647,0.13484340494647,0.26968680989294,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf90_e00_Even_electro.mat
U_Vf90_e00_Even_magneto,U,0.9,0.0,Even,1,magneto,cases/porous/Porous_CFFF_U_Vf0.9_e00_Even-30x30-10layer.txt,-1.18062714967801,-1.5987211554602302e-15,-2.03471310148688,2.03471310148688,4.06942620297376,2.87496844086013,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf90_e00_Even_magneto.mat
U_Vf10_e10_Even_elastic,U,0.1,0.1,Even,1,elastic,cases/porous/Porous_CFFF_U_Vf0.1_e10_Even-30x30-10layer.txt,-1.52543998077847,1.66533453693773e-15,-1.32775967994782,1.32775967994782,2.65551935989565,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf10_e10_Even_elastic.mat
U_Vf10_e10_Even_electro,U,0.1,0.1,Even,1,electro,cases/porous/Porous_CFFF_U_Vf0.1_e10_Even-30x30-10layer.txt,-0.0074168259765885,1.38777878078145e-17,-0.0281960321638594,0.0281960321638594,0.0563920643277188,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf10_e10_Even_electro.mat
U_Vf10_e10_Even_magneto,U,0.1,0.1,Even,1,magneto,cases/porous/Porous_CFFF_U_Vf0.1_e10_Even-30x30-10layer.txt,1.10110068327623,-1.95399252334028e-15,-4.18597798834858,4.18597798834857,8.37195597669715,5.24903778789755,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf10_e10_Even_magneto.mat
U_Vf30_e10_Even_elastic,U,0.3,0.1,Even,1,elastic,cases/porous/Porous_CFFF_U_Vf0.3_e10_Even-30x30-10layer.txt,-1.79041938723438,1.88737914186277e-15,-1.20866621487791,1.20866621487791,2.41733242975582,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf30_e10_Even_elastic.mat
U_Vf30_e10_Even_electro,U,0.3,0.1,Even,1,electro,cases/porous/Porous_CFFF_U_Vf0.3_e10_Even-30x30-10layer.txt,-0.0226030710609886,4.02455846426619e-17,-0.0653725936561921,0.0653725936561922,0.130745187312384,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf30_e10_Even_electro.mat
U_Vf30_e10_Even_magneto,U,0.3,0.1,Even,1,magneto,cases/porous/Porous_CFFF_U_Vf0.3_e10_Even-30x30-10layer.txt,0.834726282911749,-1.5543122344752201e-15,-2.41419504277452,2.41419504277451,4.82839008554903,3.40120330266658,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf30_e10_Even_magneto.mat
U_Vf50_e10_Even_elastic,U,0.5,0.1,Even,1,elastic,cases/porous/Porous_CFFF_U_Vf0.5_e10_Even-30x30-10layer.txt,-2.15507484575006,1.1990408665951701e-15,-1.22385801296717,1.22385801296718,2.44771602593435,,-15000,0,0,ok,,G:\fg-meet-workbench\output\static_elastic_U_Vf50_e10_Even_elastic.mat
U_Vf50_e10_Even_electro,U,0.5,0.1,Even,1,electro,cases/porous/Porous_CFFF_U_Vf0.5_e10_Even-30x30-10layer.txt,-0.0380331134147222,1.38777878078145e-17,-0.0902651264476295,0.0902651264476296,0.180530252895259,,0,300,0,ok,,G:\fg-meet-workbench\output\static_electro_U_Vf50_e10_Even_electro.mat
U_Vf50_e10_Even_magneto,U,0.5,0.1,Even,1,magneto,cases/porous/Porous_CFFF_U_Vf0.5_e10_Even-30x30-10layer.txt,0.444564262485815,-1.55431223447522e-16,-1.05509767054342,1.05509767054342,2.11019534108684,1.52842570188397,0,0,200,ok,,G:\fg-meet-workbench\output\static_magneto_U_Vf50_e10_Even_magneto.mat
