layer,z_bottom_m,z_top_m,target_pressure_Pa,target_w_mm,avg_eXX,avg_eYY,layer_delta_phi_V,layer_delta_psi_A,reciprocal_temperature_avg_K,run_id,source_sha256
1,-0.003,-0.0024000000000000002,14458.526671722198,-2.0000000000000115,-2.3097972499846716E-4,3.8666103611033075E-5,159.72021045891225,-0.06288663950198184,1.0655947600865303,20260720T053017957Z,a42bc3aa158cdb948719c409a89eef88f51aafcd3586a8e2fb236298ec4609d1
2,-0.0024000000000000002,-0.0018000000000000002,14458.526671722198,-2.0000000000000115,-1.7964275071197233E-4,3.0111032280214343E-5,124.1890063007444,-0.048896938257875854,0.8285435762587616,20260720T053017957Z,a42bc3aa158cdb948719c409a89eef88f51aafcd3586a8e2fb236298ec4609d1
3,-0.0018,-0.0012,14458.526671722198,-2.0000000000000115,-1.28308996145448E-4,2.1529760490845993E-5,88.68223617419298,-0.03491685742519611,0.5916554073429927,20260720T053017957Z,a42bc3aa158cdb948719c409a89eef88f51aafcd3586a8e2fb236298ec4609d1
4,-0.0012,-5.999999999999998E-4,14458.526671722198,-2.0000000000000115,-7.697727374856535E-5,1.2930807559847891E-5,53.19183833683469,-0.020943222854046456,0.35487646834576164,20260720T053017957Z,a42bc3aa158cdb948719c409a89eef88f51aafcd3586a8e2fb236298ec4609d1
5,-5.999999999999998E-4,2.1684043449710089E-19,14458.526671722198,-2.0000000000000115,-2.564666982382344E-5,4.321643328295038E-6,17.710850096499026,-0.006973293123594239,0.11816030673439612,20260720T053017957Z,a42bc3aa158cdb948719c409a89eef88f51aafcd3586a8e2fb236298ec4609d1
6,0.0,6.000000000000001E-4,14458.526671722198,-2.0000000000000115,2.5683577480702087E-5,-4.290859963125968E-6,-17.767068809503446,0.0069954281178310415,-0.11853537740218689,20260720T053017957Z,a42bc3aa158cdb948719c409a89eef88f51aafcd3586a8e2fb236298ec4609d1
7,6.000000000000003E-4,0.0012000000000000003,14458.526671722198,-2.0000000000000115,7.701418141104723E-5,-1.2900024058920509E-5,-53.24805716724297,0.02096535789450869,-0.355251539796831,20260720T053017957Z,a42bc3aa158cdb948719c409a89eef88f51aafcd3586a8e2fb236298ec4609d1
8,0.0012000000000000005,0.0018000000000000006,14458.526671722198,-2.0000000000000115,1.2834590381914909E-4,-2.1498976722614158E-5,-88.73845523591987,0.03493899255673531,-0.5920304803373331,20260720T053017957Z,a42bc3aa158cdb948719c409a89eef88f51aafcd3586a8e2fb236298ec4609d1
9,0.0018000000000000004,0.0024000000000000002,14458.526671722198,-2.0000000000000115,1.7967965840252954E-4,-3.0080248121762767E-5,-124.24522570055905,0.048919073522529534,-0.8289186515086764,20260720T053017957Z,a42bc3aa158cdb948719c409a89eef88f51aafcd3586a8e2fb236298ec4609d1
10,0.0024000000000000002,0.003,14458.526671722198,-2.0000000000000115,2.3101663271154997E-4,-3.86353189529188E-5,-159.77643029241202,0.0629087749373919,-1.065969838229864,20260720T053017957Z,a42bc3aa158cdb948719c409a89eef88f51aafcd3586a8e2fb236298ec4609d1
