mesh_divisions,target_w_mm,probe_w_center_mm,linear_scale,electric_span_V,magnetic_span_A,theta_span_K,input_file,raw_mat_file,solver_revision,solve_status,sensor_status,center_probe_method,mechanical_thermal_relative_residual,mechanical_thermal_backward_error,mechanical_thermal_rcond_estimate,sensor_relative_residual,sensor_backward_error,sensor_rcond_estimate,layer_local_pyro,run_timestamp
10,0.5,-2.12849830358636,0.2349073988725,78.4316893709344,0.0308809095657324,0.523267512472396,G:\fg-meet-workbench\cases\validation_mesh\Thermal_CFFF_U_Vf0.6-10x10-10layer.txt,G:\fg-meet-workbench\output\static_elastic_inverse_structural_pyro_10x10.mat,layer_local_pyro_v3,ok,ok,eight_node_serendipity_interpolation,6.26547539417787e-11,3.26730804235245e-21,1.58999911970345e-14,2.96683106493006e-16,1.81699303566828e-21,0.000107858348669901,1,20260720T121717
10,1,-2.12849830358636,0.469814797745,156.863378741869,0.0617618191314648,1.04653502494479,G:\fg-meet-workbench\cases\validation_mesh\Thermal_CFFF_U_Vf0.6-10x10-10layer.txt,G:\fg-meet-workbench\output\static_elastic_inverse_structural_pyro_10x10.mat,layer_local_pyro_v3,ok,ok,eight_node_serendipity_interpolation,6.26547539417787e-11,3.26730804235245e-21,1.58999911970345e-14,2.96683106493006e-16,1.81699303566828e-21,0.000107858348669901,1,20260720T121717
10,2,-2.12849830358636,0.939629595489999,313.726757483737,0.12352363826293,2.09307004988958,G:\fg-meet-workbench\cases\validation_mesh\Thermal_CFFF_U_Vf0.6-10x10-10layer.txt,G:\fg-meet-workbench\output\static_elastic_inverse_structural_pyro_10x10.mat,layer_local_pyro_v3,ok,ok,eight_node_serendipity_interpolation,6.26547539417787e-11,3.26730804235245e-21,1.58999911970345e-14,2.96683106493006e-16,1.81699303566828e-21,0.000107858348669901,1,20260720T121717
15,0.5,-2.12800664214933,0.234961672626637,78.4532864334662,0.0308894129773034,0.5234116001655,G:\fg-meet-workbench\cases\validation_mesh\Thermal_CFFF_U_Vf0.6-15x15-10layer.txt,G:\fg-meet-workbench\output\static_elastic_inverse_structural_pyro_15x15.mat,layer_local_pyro_v3,ok,ok,eight_node_serendipity_interpolation,1.28624719443096e-10,1.97769479527229e-21,6.85787701251621e-15,2.82681210577799e-16,1.15416264749808e-21,0.0001078583486699,1,20260720T121717
15,1,-2.12800664214933,0.469923345253275,156.906572866932,0.0617788259546068,1.046823200331,G:\fg-meet-workbench\cases\validation_mesh\Thermal_CFFF_U_Vf0.6-15x15-10layer.txt,G:\fg-meet-workbench\output\static_elastic_inverse_structural_pyro_15x15.mat,layer_local_pyro_v3,ok,ok,eight_node_serendipity_interpolation,1.28624719443096e-10,1.97769479527229e-21,6.85787701251621e-15,2.82681210577799e-16,1.15416264749808e-21,0.0001078583486699,1,20260720T121717
15,2,-2.12800664214933,0.939846690506549,313.813145733865,0.123557651909214,2.093646400662,G:\fg-meet-workbench\cases\validation_mesh\Thermal_CFFF_U_Vf0.6-15x15-10layer.txt,G:\fg-meet-workbench\output\static_elastic_inverse_structural_pyro_15x15.mat,layer_local_pyro_v3,ok,ok,eight_node_serendipity_interpolation,1.28624719443096e-10,1.97769479527229e-21,6.85787701251621e-15,2.82681210577799e-16,1.15416264749808e-21,0.0001078583486699,1,20260720T121717
20,0.5,-2.1277404885835,0.234991063375809,78.4678919975307,0.0308951636261375,0.523509043140879,G:\fg-meet-workbench\cases\validation_mesh\Thermal_CFFF_U_Vf0.6-20x20-10layer.txt,G:\fg-meet-workbench\output\static_elastic_inverse_structural_pyro_20x20.mat,layer_local_pyro_v3,ok,ok,eight_node_serendipity_interpolation,2.30603023846515e-10,1.49261190668111e-21,3.99724756693009e-15,3.2553824262853e-16,9.9685913697244e-22,0.0001078583486699,1,20260720T121717
20,1,-2.1277404885835,0.469982126751619,156.935783995061,0.0617903272522749,1.04701808628176,G:\fg-meet-workbench\cases\validation_mesh\Thermal_CFFF_U_Vf0.6-20x20-10layer.txt,G:\fg-meet-workbench\output\static_elastic_inverse_structural_pyro_20x20.mat,layer_local_pyro_v3,ok,ok,eight_node_serendipity_interpolation,2.30603023846515e-10,1.49261190668111e-21,3.99724756693009e-15,3.2553824262853e-16,9.9685913697244e-22,0.0001078583486699,1,20260720T121717
20,2,-2.1277404885835,0.939964253503237,313.871567990123,0.12358065450455,2.09403617256352,G:\fg-meet-workbench\cases\validation_mesh\Thermal_CFFF_U_Vf0.6-20x20-10layer.txt,G:\fg-meet-workbench\output\static_elastic_inverse_structural_pyro_20x20.mat,layer_local_pyro_v3,ok,ok,eight_node_serendipity_interpolation,2.30603023846515e-10,1.49261190668111e-21,3.99724756693009e-15,3.2553824262853e-16,9.9685913697244e-22,0.0001078583486699,1,20260720T121717
30,0.5,-2.12751986193692,0.235015432262425,78.4802748394659,0.0309000391225731,0.523591656928096,G:\fg-meet-workbench\cases\validation_mesh\Thermal_CFFF_U_Vf0.6-30x30-10layer.txt,G:\fg-meet-workbench\output\static_elastic_inverse_structural_pyro_30x30.mat,layer_local_pyro_v3,ok,ok,eight_node_serendipity_interpolation,5.20033614561541e-10,9.95441509155659e-22,1.71320921765072e-15,2.89692954398417e-16,5.91396699297032e-22,0.000107858348669898,1,20260720T121717
