"load_case","radius_m","distribution","w20_mm","w30_mm","change_pct","solver_revision","solve_status","sensor_status"
"elastic","1","U","-2.06951495429452","-2.06935194044678","0.00787753134429294","layer_local_pyro_v3","ok","ok"
"elastic","1","X","-1.759169006275","-1.75905248471932","0.00662410909820111","layer_local_pyro_v3","ok","ok"
"elastic","0.4","U","-1.96027888869544","-1.96016404595863","0.00585883294079668","layer_local_pyro_v3","ok","ok"
"elastic","0.4","X","-1.66717211609997","-1.66709368074891","0.00470491562408408","layer_local_pyro_v3","ok","ok"
"elastic","0.3","U","-1.88198074691323","-1.88188007841677","0.00534935767745543","layer_local_pyro_v3","ok","ok"
"elastic","0.3","X","-1.60074838727911","-1.60068091781808","0.00421504750131605","layer_local_pyro_v3","ok","ok"
"elastic","0.2","U","-1.6811046053015","-1.68102664477312","0.00463767356832599","layer_local_pyro_v3","ok","ok"
"elastic","0.2","X","-1.4299939838503","-1.42994342995179","0.00353537751519357","layer_local_pyro_v3","ok","ok"
"electro","1","U","-0.0594218210347424","-0.0594237318246169","0.00321553328231922","layer_local_pyro_v3","ok","ok"
"electro","1","X","-0.0488577228424693","-0.0488588019006604","0.00220852364180347","layer_local_pyro_v3","ok","ok"
"electro","0.4","U","-0.0629536071384859","-0.0629531573489804","0.000714482838508537","layer_local_pyro_v3","ok","ok"
"electro","0.4","X","-0.0517024038346666","-0.0517016131644315","0.00152929509690739","layer_local_pyro_v3","ok","ok"
"electro","0.3","U","-0.0629104007522077","-0.0629096245772438","0.00123379366689027","layer_local_pyro_v3","ok","ok"
"electro","0.3","X","-0.0516394877913337","-0.051638443482923","0.00202234680271171","layer_local_pyro_v3","ok","ok"
"electro","0.2","U","-0.061715382467668","-0.0617144754361697","0.00146972244656254","layer_local_pyro_v3","ok","ok"
"electro","0.2","X","-0.0506396934324226","-0.0506385422856487","0.00227326206866271","layer_local_pyro_v3","ok","ok"
"magneto","1","U","0.198522383217438","0.198528766969857","0.003215530180325","layer_local_pyro_v3","ok","ok"
"magneto","1","X","0.351517548443515","0.351525311947237","0.00220851911892759","layer_local_pyro_v3","ok","ok"
"magneto","0.4","U","0.210321728682308","0.210320225972978","0.00071448636146068","layer_local_pyro_v3","ok","ok"
"magneto","0.4","X","0.371984226608921","0.371978537971279","0.00152929189762789","layer_local_pyro_v3","ok","ok"
"magneto","0.3","U","0.210177380446943","0.210174787319197","0.00123379582277726","layer_local_pyro_v3","ok","ok"
"magneto","0.3","X","0.371531563403711","0.371524049909121","0.00202234406959027","layer_local_pyro_v3","ok","ok"
"magneto","0.2","U","0.20618494343398","0.206181913125086","0.00146972585882807","layer_local_pyro_v3","ok","ok"
"magneto","0.2","X","0.364338324708584","0.36433004255931","0.00227325455102505","layer_local_pyro_v3","ok","ok"
