source,path,label,n,x_min,x_max,x_first,x_mid,x_last,y_min,y_max,y_first,y_mid,y_last
FOSD.fig,hgS_070000.children[1].children[0].properties,\sigma_{22},20,-2414571.197263598,2414571.1972636003,2414571.1972636003,5.832430646947118e-10,-2414571.197263598,-3.0,3.0,-3.0,0.0,3.0
MEET_CFFFLRT56_G2.fig,hgS_070000.children[1].children[0].properties,,41,0.0,0.3,0.0,0.15,0.3,3.906179547436795e-05,4.716592492493568e-05,4.716592492493568e-05,3.906179547436795e-05,4.716592492481265e-05
MEET_CFFFRVK5_G2.fig,hgS_070000.children[1].children[0].properties,,21,0.0,0.254,0.0,0.127,0.254,0.0,0.9045131486764834,0.0,0.9045131486764834,0.0
不同温度变化分布下中心线位移比较图.fig,hgS_070000.children[1].children[0].properties,UTR,11,0.0,0.2,0.0,0.1,0.2,-0.7079,-0.0,-0.0,-0.164,-0.7079
不同温度变化分布下中心线位移比较图.fig,hgS_070000.children[1].children[1].properties,"UTR,文献",11,0.0,0.2,0.0,0.1,0.2,-0.7079,-0.0,-0.0,-0.164,-0.7079
不同温度变化分布下中心线位移比较图.fig,hgS_070000.children[1].children[2].properties,LTR,11,0.0,0.2,0.0,0.1,0.2,-1.944,-0.0,-0.0,-0.45780000000000004,-1.944
不同温度变化分布下中心线位移比较图.fig,hgS_070000.children[1].children[3].properties,"LTR,文献",11,0.0,0.2,0.0,0.1,0.2,-1.9400000000000002,0.0,0.0,-0.458,-1.9400000000000002
不同温度变化分布下中心线位移比较图.fig,hgS_070000.children[1].children[4].properties,STR,11,0.0,0.2,0.0,0.1,0.2,-1.928,-0.0,-0.0,-0.4545,-1.928
不同温度变化分布下中心线位移比较图.fig,hgS_070000.children[1].children[5].properties,"STR,文献",11,0.0,0.2,0.0,0.1,0.2,-1.9300000000000002,0.0,0.0,-0.455,-1.9300000000000002
不同温度变化分布下中心线位移比较图.fig,hgS_070000.children[1].children[6].properties,HC,11,0.0,0.2,0.0,0.1,0.2,-2.049,-0.0,-0.0,-0.48250000000000004,-2.049
不同温度变化分布下中心线位移比较图.fig,hgS_070000.children[1].children[7].properties,"HC,文献",11,0.0,0.2,0.0,0.1,0.2,-2.0500000000000003,0.0,0.0,-0.482,-2.0500000000000003
悬臂梁-100K均匀温差.fig,hgS_070000.children[1].children[0].properties,,21,0.0,1.0,0.0,0.5,1.0,0.0,1.2362395511349753,0.0,0.6212395453584003,1.2362395511349753
CFCF板-100K均匀温差.fig,hgS_070000.children[1].children[0].properties,,21,0.0,0.3,0.0,0.15,0.3,-3.299768007172187e-05,3.2997680071721996e-05,0.0,3.684296991846634e-19,0.0
CFFC板-100K均匀温差.fig,hgS_070000.children[1].children[0].properties,,21,0.0,0.3,0.0,0.15,0.3,0.0,0.0003439330953629456,0.0,0.00017113634777471404,0.0003439330953629456
CFFF-FG-MEEP方形板15均匀温差K.fig,hgS_070000.children[1].children[0].properties,,21,0.0,0.2,0.0,0.1,0.2,-0.0007078804708583028,0.0,0.0,-0.00016401604542902907,-0.0007078804708583028
CFFF-FG-MEEP方形板15K均匀温差.fig,hgS_070000.children[1].children[0].properties,,21,0.0,0.2,0.0,0.1,0.2,-0.0007078804708583028,0.0,0.0,-0.00016401604542902907,-0.0007078804708583028
CFFF-FG-MEEP方形板热传导温差.fig,hgS_070000.children[1].children[0].properties,,21,0.0,0.2,0.0,0.1,0.2,-0.002048669976799043,0.0,0.0,-0.00048245657290523636,-0.002048669976799043
CFFF-FG-MEEP方形板线性温差.fig,hgS_070000.children[1].children[0].properties,,21,0.0,0.2,0.0,0.1,0.2,-0.001943568717352391,0.0,0.0,-0.0004578028721391538,-0.001943568717352391
CFFF-FG-MEEP方形板正弦温差.fig,hgS_070000.children[1].children[0].properties,,21,0.0,0.2,0.0,0.1,0.2,-0.001927896308287599,0.0,0.0,-0.00045450148083030987,-0.001927896308287599
