point_id,x_m,y_m,node_id,node_x_m,node_y_m,qian_w_mm,our_w_mm,abs_diff_mm,rel_diff_pct
p1,0.05,0.05,471,0.05,0.05,-0.287336269907349,-0.287336269907349,0,0
p2,0.1,0.05,931,0.1,0.05,-1.02308641722421,-1.02308641722421,0,0
p3,0.15,0.05,1391,0.15,0.05,-2.06446556618203,-2.06446556618203,0,0
p4,0.2,0.05,1851,0.2,0.05,-3.28811700613771,-3.28811700613771,0,0
p5,0.25,0.05,2311,0.25,0.05,-4.60013182546229,-4.60013182546229,0,0
p6,0.05,0.15,491,0.05,0.15,-0.304630072134401,-0.304630072134401,0,0
p7,0.1,0.15,951,0.1,0.15,-1.07106026466227,-1.07106026466227,0,0
p8,0.15,0.15,1411,0.15,0.15,-2.12751986193692,-2.12751986193692,0,0
p9,0.2,0.15,1871,0.2,0.15,-3.35173788883747,-3.35173788883747,0,0
p10,0.25,0.15,2331,0.25,0.15,-4.65901151742363,-4.65901151742363,0,0
p11,0.05,0.25,511,0.05,0.25,-0.287336269916504,-0.287336269916504,0,0
p12,0.1,0.25,971,0.1,0.25,-1.02308641725147,-1.02308641725147,0,0
p13,0.15,0.25,1431,0.15,0.25,-2.06446556622563,-2.06446556622563,0,0
p14,0.2,0.25,1891,0.2,0.25,-3.28811700618734,-3.28811700618734,0,0
p15,0.25,0.25,2351,0.25,0.25,-4.600131825506,-4.600131825506,0,0
