x_over_a,x_m,y_m,z_m,comsol_w_mm,qian_present_w_mm,qian_comsol_w_mm,delta_vs_qian_present_mm
0.0,0.0,0.15,0,0.0,0.0,0.0,0.0
0.1,0.03,0.15,0,0.005962433844444103,0.0055,0.00532,4.624338444441031E-4
0.2,0.06,0.15,0,0.0264594699097438,0.0243,0.0239,0.002159469909743802
0.3,0.09,0.15,0,0.06388887232629213,0.0584,0.0578,0.005488872326292131
0.4,0.12,0.15,0,0.1191603501847719,0.109,0.108,0.010160350184771905
0.5,0.15,0.15,0,0.19232880713483536,0.175,0.173,0.017328807134835367
0.6,0.18,0.15,0,0.28307911664865865,0.256,0.255,0.02707911664865864
0.7,0.21,0.15,0,0.3909980910071025,0.353,0.351,0.0379980910071025
0.8,0.24,0.15,0,0.5156935873757486,0.465,0.463,0.05069358737574853
0.9,0.27,0.15,0,0.6568251451499664,0.591,0.589,0.0658251451499664
1.0,0.3,0.15,0,0.8141238425419811,0.732,0.729,0.08212384254198113
