x_over_a,x_m,y_m,z_m,comsol_w_mm,qian_present_w_mm,qian_comsol_w_mm,delta_vs_qian_present_mm
0.0,0.0,0.15,0,0.0,0.0,0.0,0.0
0.1,0.03,0.15,0,-0.005727225497504035,0.0055,0.00532,-0.011227225497504035
0.2,0.06,0.15,0,-0.025915916627034494,0.0243,0.0239,-0.05021591662703449
0.3,0.09,0.15,0,-0.06300824841376787,0.0584,0.0578,-0.12140824841376788
0.4,0.12,0.15,0,-0.11793639894175854,0.109,0.108,-0.22693639894175854
0.5,0.15,0.15,0,-0.19076621642120326,0.175,0.173,-0.3657662164212032
0.6,0.18,0.15,0,-0.28118650590758376,0.256,0.255,-0.5371865059075838
0.7,0.21,0.15,0,-0.3887847189714317,0.353,0.351,-0.7417847189714317
0.8,0.24,0.15,0,-0.5131680864994481,0.465,0.463,-0.9781680864994482
0.9,0.27,0.15,0,-0.6539950900012388,0.591,0.589,-1.2449950900012388
1.0,0.3,0.15,0,-0.8109970876851975,0.732,0.729,-1.5429970876851975
