x_over_a,x_m,y_m,z_m,comsol_w_mm,qian_present_w_mm,qian_comsol_w_mm,delta_vs_qian_present_mm
0.0,0.0,0.15,0,0.0,0.0,0.0,0.0
0.1,0.03,0.15,0,0.005727225496991665,0.0055,0.00532,2.27225496991665E-4
0.2,0.06,0.15,0,0.02591591662508032,0.0243,0.0239,0.0016159166250803228
0.3,0.09,0.15,0,0.06300824840962226,0.0584,0.0578,0.004608248409622255
0.4,0.12,0.15,0,0.1179363989348268,0.109,0.108,0.008936398934826797
0.5,0.15,0.15,0,0.19076621641103236,0.175,0.173,0.015766216411032374
0.6,0.18,0.15,0,0.28118650589385596,0.256,0.255,0.02518650589385596
0.7,0.21,0.15,0,0.38878471895394323,0.353,0.351,0.03578471895394325
0.8,0.24,0.15,0,0.5131680864781029,0.465,0.463,0.048168086478102834
0.9,0.27,0.15,0,0.653995089975988,0.591,0.589,0.06299508997598802
1.0,0.3,0.15,0,0.8109970876559894,0.732,0.729,0.07899708765598945
