x_over_a,x_m,y_m,z_m,comsol_w_mm,qian_present_w_mm,qian_comsol_w_mm,delta_vs_qian_present_mm
0.0,0.0,0.15,0,0.0,0.0,0.0,0.0
0.1,0.03,0.15,0,0.005671629436167695,0.0055,0.00532,1.7162943616769524E-4
0.2,0.06,0.15,0,0.02578857217256039,0.0243,0.0239,0.00148857217256039
0.3,0.09,0.15,0,0.06280526760534623,0.0584,0.0578,0.004405267605346229
0.4,0.12,0.15,0,0.11765983977009503,0.109,0.108,0.008659839770095032
0.5,0.15,0.15,0,0.19042097238974878,0.175,0.173,0.015420972389748794
0.6,0.18,0.15,0,0.2807784441640806,0.256,0.255,0.024778444164080593
0.7,0.21,0.15,0,0.3883198123440269,0.353,0.351,0.035319812344026924
0.8,0.24,0.15,0,0.5126520847243268,0.465,0.463,0.04765208472432675
0.9,0.27,0.15,0,0.6534333757955596,0.591,0.589,0.06243337579555963
1.0,0.3,0.15,0,0.8103947935650206,0.732,0.729,0.07839479356502066
