x_over_a,x_m,y_m,z_m,comsol_w_mm,qian_present_w_mm,qian_comsol_w_mm,delta_vs_qian_present_mm
0.0,0.0,0.15,0,0.0,0.0,0.0,0.0
0.1,0.03,0.15,0,0.005723997084860213,0.0055,0.00532,2.2399708486021356E-4
0.2,0.06,0.15,0,0.02590868740668941,0.0243,0.0239,0.0016086874066894123
0.3,0.09,0.15,0,0.0629965612567098,0.0584,0.0578,0.004596561256709798
0.4,0.12,0.15,0,0.11792018478707623,0.109,0.108,0.008920184787076235
0.5,0.15,0.15,0,0.1907455914150529,0.175,0.173,0.015745591415052912
0.6,0.18,0.15,0,0.2811616545516119,0.256,0.255,0.0251616545516119
0.7,0.21,0.15,0,0.38875583853055873,0.353,0.351,0.03575583853055875
0.8,0.24,0.15,0,0.5131353697326697,0.465,0.463,0.048135369732669686
0.9,0.27,0.15,0,0.6539588211742127,0.591,0.589,0.0629588211742127
1.0,0.3,0.15,0,0.8109578424307147,0.732,0.729,0.07895784243071469
