x_over_a,x_m,y_m,z_m,comsol_w_mm,qian_present_w_mm,qian_comsol_w_mm,delta_vs_qian_present_mm
0.0,0.0,0.15,0,0.0,0.0,0.0,0.0
0.1,0.03,0.15,0,0.005726792377095611,0.0055,0.00532,2.2679237709561165E-4
0.2,0.06,0.15,0,0.02591441232966242,0.0243,0.0239,0.0016144123296624215
0.3,0.09,0.15,0,0.06300515459544026,0.0584,0.0578,0.00460515459544026
0.4,0.12,0.15,0,0.11793130836180427,0.109,0.108,0.008931308361804266
0.5,0.15,0.15,0,0.19075881691962668,0.175,0.173,0.01575881691962669
0.6,0.18,0.15,0,0.2811765686683657,0.256,0.255,0.025176568668365706
0.7,0.21,0.15,0,0.38877208817083014,0.353,0.351,0.03577208817083016
0.8,0.24,0.15,0,0.5131526682170935,0.465,0.463,0.048152668217093464
0.9,0.27,0.15,0,0.6539768409614148,0.591,0.589,0.06297684096141487
1.0,0.3,0.15,0,0.8109760025085212,0.732,0.729,0.07897600250852121
