source,diagnostic,baseline_value_mm,diagnostic_value_mm,change_pct,verdict,evidence
MATLAB_inplane_mesh,electric_20_to_30,-0.0522520042318895,-0.0522570949262148,0.00974163284902266,excluded_as_primary,results/matlab_forward_mesh_diagnostic.csv
MATLAB_inplane_mesh,magnetic_20_to_30,0.174568739689739,0.174585747179692,0.00974162566373526,excluded_as_primary,results/matlab_forward_mesh_diagnostic.csv
MATLAB_inplane_mesh,mechanical_20_to_30,-2.1277404885835,-2.12751986193692,0.010370133342904,excluded_as_primary,results/matlab_forward_mesh_diagnostic.csv
COMSOL_inplane_mesh,electric_15_to_20,-0.0580492820,-0.0578865885,0.2811,excluded_as_primary,direct_comsol_mesh_validation.csv
COMSOL_inplane_mesh,magnetic_15_to_20,0.1904350676,0.1907662164,0.1736,excluded_as_primary,direct_comsol_mesh_validation.csv
COMSOL_thickness_mesh,magnetic_1_to_5_elements_per_layer,0.1907455914150529,0.19075881691962668,0.0069331026409907,excluded_as_primary,comsol/comsol_diag_magnetic_200A_20x20x1perlayer_iso_volume_summary.csv
COMSOL_thickness_mesh,magnetic_5_to_10_elements_per_layer,0.19075881691962668,0.19076621642120326,0.00387883227722005,excluded_as_primary,comsol/comsol_diag_magnetic_200A_20x20x5_iso_volume_summary.csv
3D_material_completion,case_orthotropic_vs_isotropic,0.19076621642120326,0.19232880713483536,0.819112913673337,worsens_bias,comsol/comsol_diag_magnetic_200A_20x20x10_case_ortho_volume_summary.csv
3D_material_completion,qian_full_orthotropic_vs_isotropic,0.19076621642120326,0.19042097238974878,-0.180977553537143,minor_only,comsol/comsol_diag_magnetic_200A_20x20x10_qian_ortho_volume_summary.csv
load_representation,volume_stress_vs_corrected_side_pressure,0.19076621642120326,0.19076621641103236,0.00000000533160016,numerically_equivalent,comsol/comsol_diag_magnetic_200A_20x20x10_iso_sidepressure_corrected_summary.csv
field_magnitude,magnetic_Hz_target_vs_solved,333333.3333333333,333333.3333333345,0.00000000000036,verified,comsol/comsol_direct_magnetic_200A_20x20x10_summary.csv
field_magnitude,electric_Ez_target_vs_solved,500000,499999.88678737544,0.000022642524912,verified,comsol/comsol_direct_electro_300V_20x20x10_summary.csv
model_form,magnetic_3D_solid_vs_LRT5_plate,0.1745857472,0.1907662164,9.267921033993872,primary_remaining_source,deep_20x20_bias_diagnosis.md
model_form,electric_3D_solid_vs_LRT5_plate,-0.0522570949,-0.0578865885,10.772687612420011,primary_remaining_source,deep_20x20_bias_diagnosis.md
