x_over_a,x_m,y_m,z_m,comsol_w_mm,qian_present_w_mm,qian_comsol_w_mm,delta_vs_qian_present_mm
0.0,0.0,0.15,0,0.0,0.0,0.0,0.0
0.1,0.03,0.15,0,0.016402328339797417,0.0055,0.00532,0.010902328339797417
0.2,0.06,0.15,0,0.07422116938303126,0.0243,0.0239,0.04992116938303126
0.3,0.09,0.15,0,0.18045072244060367,0.0584,0.0578,0.12205072244060367
0.4,0.12,0.15,0,0.3377606730371528,0.109,0.108,0.2287606730371528
0.5,0.15,0.15,0,0.5463396053249225,0.175,0.173,0.37133960532492255
0.6,0.18,0.15,0,0.8052962811887896,0.256,0.255,0.5492962811887896
0.7,0.21,0.15,0,1.1134491940163305,0.353,0.351,0.7604491940163305
0.8,0.24,0.15,0,1.4696734836180994,0.465,0.463,1.0046734836180993
0.9,0.27,0.15,0,1.8729910676021908,0.591,0.589,1.2819910676021908
1.0,0.3,0.15,0,2.3226325767733482,0.732,0.729,1.5906325767733482
