x_over_a,x_m,y_m,z_m,comsol_w_mm,qian_present_w_mm,qian_comsol_w_mm,delta_vs_qian_present_mm
0.0,0.0,0.15,0,0.0,0.0,0.0,0.0
0.1,0.03,0.15,0,0.03002222093412452,0.0055,0.00532,0.024522220934124518
0.2,0.06,0.15,0,0.1358517095364404,0.0243,0.0239,0.1115517095364404
0.3,0.09,0.15,0,0.3302903920191042,0.0584,0.0578,0.2718903920191042
0.4,0.12,0.15,0,0.6182247629742831,0.109,0.108,0.5092247629742831
0.5,0.15,0.15,0,0.9999999999290932,0.175,0.173,0.8249999999290931
0.6,0.18,0.15,0,1.4739848132881936,0.256,0.255,1.2179848132881936
0.7,0.21,0.15,0,2.0380166166318574,0.353,0.351,1.6850166166318574
0.8,0.24,0.15,0,2.6900365070773358,0.465,0.463,2.225036507077336
0.9,0.27,0.15,0,3.428254238445018,0.591,0.589,2.837254238445018
1.0,0.3,0.15,0,4.251261585544175,0.732,0.729,3.519261585544175
