layer,z_mid_m,probe_pressure_Pa,probe_w_center_mm,avg_eXX,avg_eYY,temperature_reciprocal_K,phi_drop_zero_temperature,psi_drop_zero_temperature,phi_drop_thermo_corrected,psi_drop_thermo_corrected
1,-0.0027,15000.0,-2.2362396173648604,-2.570211106677473E-4,3.582544513727714E-5,1.2256279115470075,161.29638300385975,-0.12468526096063103,183.70731098631518,-0.07233108074852497
2,-0.0021000000000000003,15000.0,-2.2362396173648604,-1.9989590028435275E-4,2.7900495544748313E-5,0.9530131081056163,125.41944079804568,-0.09695168245072508,142.84553556210233,-0.05624257364519578
3,-0.0015000000000000002,15000.0,-2.2362396173648604,-1.4277433083002304E-4,1.99507363446218E-5,0.6805559468664284,89.56324478835245,-0.06923414115646584,102.00738886304485,-0.0401633698799756
4,-9.000000000000002E-4,15000.0,-2.2362396173648604,-8.565506099760255E-5,1.198418839994865E-5,0.40820455277533535,53.72096805894623,-0.04152735973829709,61.185095424331884,-0.02409040801905388
5,-3.0000000000000035E-4,15000.0,-2.2362396173648604,-2.8537057440274096E-5,4.007926260662927E-6,0.13591400060951062,17.886698313052932,-0.013826767875096839,20.37192147970103,-0.008021036776596394
6,2.999999999999995E-4,15000.0,-2.2362396173648604,2.8580542273485505E-5,-3.971515412952421E-6,-0.13635669633917202,-17.944958425516848,0.013871804082300475,-20.438276399750603,0.008047162699698742
7,8.999999999999998E-4,15000.0,-2.2362396173648604,8.569854583807121E-5,-1.1947777386504208E-5,-0.40864724946352743,-53.779228297555704,0.04157239604301372,-61.251450488053976,0.024116533998724418
8,0.0014999999999999996,15000.0,-2.2362396173648604,1.4281781568501449E-4,-1.991432500368691E-5,-0.680998645449689,-89.62150527635877,0.0692791776539711,-102.07374421081565,0.04018949597148462
9,0.0020999999999999994,15000.0,-2.2362396173648604,1.9993938516115451E-4,-2.7864083722686142E-5,-0.9534558094756149,-125.47770165279525,0.09699671923173002,-142.91189132757256,0.05626869990116561
10,0.0026999999999999993,15000.0,-2.2362396173648604,2.5706459557367706E-4,-3.578903269307143E-5,-1.2260706165256512,-161.35464433351797,0.12473029810874971,-183.77366729267916,0.07235720721746086
