layer,z_mid_m,probe_pressure_Pa,probe_w_center_mm,avg_eXX,avg_eYY,temperature_reciprocal_K,phi_drop_zero_temperature,psi_drop_zero_temperature,phi_drop_thermo_corrected,psi_drop_thermo_corrected
1,-0.0027,15000.0,-2.259761968393698,-2.581810254018546E-4,3.659914689044356E-5,1.227767887518543,161.5780103890326,-0.12490296444139098,184.02806839368355,-0.07245737256461263
2,-0.0021000000000000003,15000.0,-2.259761968393698,-2.0080100571330382E-4,2.849241374620898E-5,0.9547484540791991,125.64781763751068,-0.09712822221743128,143.1056436580704,-0.056344986007511685
3,-0.0015000000000000002,15000.0,-2.259761968393698,-1.4342233932580385E-4,2.0367953342633518E-5,0.6818347445351584,89.73153847407603,-0.06936423546938025,102.19906569971337,-0.040238838802122756
4,-9.000000000000002E-4,15000.0,-2.259761968393698,-8.604441853128162E-5,1.223222166558988E-5,0.4089876195098065,53.824022037018096,-0.04160702248032285,61.30246798312989,-0.024136621117392208
5,-3.0000000000000035E-4,15000.0,-2.259761968393698,-2.8666867792750696E-5,4.090236907128338E-6,0.1361771927716987,17.921335206840965,-0.013853542871909527,20.411370911239526,-0.008036569201532418
6,2.999999999999995E-4,15000.0,-2.259761968393698,2.871057144352171E-5,-4.0537516383796175E-6,-0.13662151331353428,-17.979809149558164,0.01389874437408404,-20.477969371659356,0.008062791013786333
7,8.999999999999998E-4,15000.0,-2.259761968393698,8.608812218851544E-5,-1.219573618829767E-5,-0.4094319412429753,-53.882496136518384,0.041652224103693763,-61.36906662211664,0.024162842999953273
8,0.0014999999999999996,15000.0,-2.259761968393698,1.4346604299619672E-4,-2.033146745496591E-5,-0.6822790686150981,-89.79001288241858,0.0694094373314923,-102.2656646904537,0.04026506082317978
9,0.0020999999999999994,15000.0,-2.259761968393698,2.008447094037102E-4,-2.8455927260599956E-5,-0.955192781583179,-125.7062924964674,0.09717342442787685,-143.17224316203433,0.05637120823064022
10,0.0026999999999999993,15000.0,-2.259761968393698,2.582247291193099E-4,-3.656265964249908E-5,-1.22821221939644,-161.63648582361012,0.12494816709680277,-184.09466855324658,0.0724835950458702
