layer,SensM_T,SensM_E_zero_delta,SensM_M_zero_delta,SensM_E_thermal_response,SensM_M_thermal_response
1,1.11395164965898,146.599445262621,-0.113324240437656,350.288427548721,0.362513694259887
2,0.86640683862365,114.021790759816,-0.0881410758959546,272.446554760116,0.281955095535467
3,0.618862027588321,81.4441362570115,-0.0629579113542532,194.604681971512,0.201396496811048
4,0.37131721655299,48.8664817542066,-0.0377747468125517,116.762809182906,0.120837898086628
5,0.123772405517661,16.2888272514018,-0.0125915822708503,38.9209363943011,0.0402792993622084
6,-0.123772405517669,-16.288827251403,0.0125915822708512,-38.9209363943038,-0.0402792993622112
7,-0.371317216552999,-48.8664817542078,0.0377747468125526,-116.762809182909,-0.120837898086631
8,-0.618862027588329,-81.4441362570127,0.0629579113542541,-194.604681971514,-0.201396496811051
9,-0.866406838623659,-114.021790759817,0.0881410758959555,-272.446554760119,-0.28195509553547
10,-1.11395164965899,-146.599445262622,0.113324240437657,-350.288427548724,-0.36251369425989
