citation_key,year,authors,title,venue,volume,issue,pages_or_article,doi,url,theme,source_acquired,original_verified,openalex_state,crossref_state,s2_state
zhang2026_full,2026,Shun-Qi Zhang; Shen-Yun Qian; Shen Liu; Chun-Yan Ling; Song-Yun Ma,Fully coupled modeling for static and dynamic analysis of thermo-magneto-electro-elastic plates,International Journal of Mechanics and Materials in Design,22,1,17,10.1007/s10999-025-09834-9,https://doi.org/10.1007/s10999-025-09834-9,validation,True,True,matched,matched,degraded
zhao2024_porous_shell,2024,Ya-Fei Zhao; Ying-Shan Gao; Xiang Wang; Bernd Markert; Shun-Qi Zhang,Finite element analysis of functionally graded magneto-electro-elastic porous cylindrical shells subjected to thermal loads,Mechanics of Advanced Materials and Structures,31,17,4003-4018,10.1080/15376494.2023.2188326,https://doi.org/10.1080/15376494.2023.2188326,porous_shell,False,False,matched,matched,degraded
zhang2022_fgmee_shell,2022,Shun-Qi Zhang; Ya-Fei Zhao; Xiang Wang; Min Chen; Rüdiger Schmidt,Static and dynamic analysis of functionally graded magneto-electro-elastic plates and shells,Composite Structures,281,,114950,10.1016/j.compstruct.2021.114950,https://doi.org/10.1016/j.compstruct.2021.114950,fgmee_shell,False,False,matched,matched,degraded
zhao2022_cntmee,2022,Ya-Fei Zhao; Shun-Qi Zhang; Xiang Wang; Song-Yun Ma; Guo-Zhong Zhao; Zhan Kang,Nonlinear analysis of carbon nanotube reinforced functionally graded plates with magneto-electro-elastic multiphase matrix,Composite Structures,297,,115969,10.1016/j.compstruct.2022.115969,https://doi.org/10.1016/j.compstruct.2022.115969,nonlinear,False,False,matched,matched,degraded
zhou2023_migam,2023,Liming Zhou; Fangting Qu,The magneto-electro-elastic coupling isogeometric analysis method for the static and dynamic analysis of magneto-electro-elastic structures under thermal loading,Composite Structures,315,,116984,10.1016/j.compstruct.2023.116984,https://doi.org/10.1016/j.compstruct.2023.116984,method,False,False,matched,matched,degraded
tarkashvand2025_moving_heat,2025,A. Tarkashvand; H. Zafari; F. Aliakbari,Novel multi-physics simulation of transient dynamics in functionally graded porous multiferroic cylindrical shells under moving heat flux: A magneto-electro-thermoelastic analysis,Engineering Structures,322,,119116,10.1016/j.engstruct.2024.119116,https://doi.org/10.1016/j.engstruct.2024.119116,porous_shell,False,False,matched,matched,degraded
gan2024_imperfect_shell,2024,Lei-Lei Gan; Gui-Lin She,Nonlinear transient response of magneto-electro-elastic cylindrical shells with initial geometric imperfection,Applied Mathematical Modelling,132,,166-186,10.1016/j.apm.2024.04.049,https://doi.org/10.1016/j.apm.2024.04.049,curved_shell,False,False,matched,matched,degraded
tran2024_double_curved,2024,Pham Hoang Tu; Tran Van Ke; Vu Khac Trai; Le Hoai,An isogeometric analysis approach for dynamic response of doubly-curved magneto electro elastic composite shallow shell subjected to blast loading,Defence Technology,41,,159-180,10.1016/j.dt.2024.06.005,https://doi.org/10.1016/j.dt.2024.06.005,curved_shell,False,False,matched,matched,degraded
belbachir2023_double_curved,2023,Hajer Ellouz; Hanen Jrad; Mondher Wali; Fakhreddine Dammak,Numerical modeling of geometrically nonlinear responses of smart magneto-electro-elastic functionally graded double curved shallow shells based on improved FSDT,Computers &amp; Mathematics with Applications,151,,271-287,10.1016/j.camwa.2023.09.040,https://doi.org/10.1016/j.camwa.2023.09.040,curved_shell,False,False,matched,matched,degraded
ozmen2023_nanoplates,2023,Ramazan Özmen,Thermomechanical vibration and buckling response of magneto-electro-elastic higher order laminated nanoplates,Applied Mathematical Modelling,122,,373-400,10.1016/j.apm.2023.06.005,https://doi.org/10.1016/j.apm.2023.06.005,porous_plate,False,False,matched,matched,degraded
koc2024_porous_core,2024,Mehmet Akif Koç; İsmail Esen; Mustafa Eroğlu,Thermomechanical vibration response of nanoplates with magneto-electro-elastic face layers and functionally graded porous core using nonlocal strain gradient elasticity,Mechanics of Advanced Materials and Structures,31,18,4477-4509,10.1080/15376494.2023.2199412,https://doi.org/10.1080/15376494.2023.2199412,porous_plate,False,False,matched,degraded,degraded
esen2025_porous_nanoplate,2025,Ismail Esen; Kerim Gökhan Aktaş; Fatih Pehlivan,Investigation of the Critical Buckling Temperatures and Free Vibration Response of Porous Functionally Graded Magneto-Electro-Elastic Sandwich Higher-Order Nanoplates with Temperature-Dependent Material Properties,Journal of Vibration Engineering &amp; Technologies,13,2,162,10.1007/s42417-024-01542-6,https://doi.org/10.1007/s42417-024-01542-6,porous_plate,False,False,matched,matched,degraded
kar2025_porous_microplate,2025,Uttam Kumar Kar; Jonnalagadda Srinivas,Dynamic analysis and structural optimization study of porous FG-MEE microplate with impact and hygrothermal loads,"Proceedings of the Institution of Mechanical Engineers, Part C: Journal of Mechanical Engineering Science",239,8,2971-2993,10.1177/09544062241299210,https://doi.org/10.1177/09544062241299210,porous_plate,False,False,matched,matched,degraded
brischetto2025_3d,2025,Salvatore Brischetto; Domenico Cesare; Tommaso Mondino,3D Exact Magneto-Electro-Elastic Static Analysis of Multilayered Plates,Computer Modeling in Engineering &amp; Sciences,144,1,643-668,10.32604/cmes.2025.066313,https://doi.org/10.32604/cmes.2025.066313,benchmark,False,False,matched,matched,degraded
gong2025_comsol3d,2025,Zheng Gong; Yinxiao Zhang; Chunlin Du; Ernian Pan; Chao Zhang,A general magneto-electro-elastic 3D FE model for free vibration and dynamic responses of multiphase composites,Thin-Walled Structures,213,,113242,10.1016/j.tws.2025.113242,https://doi.org/10.1016/j.tws.2025.113242,comsol,False,False,matched,matched,degraded
dat2022_auxetic,2022,Ngo Dinh Dat; Tran Quoc Quan; Nguyen Dinh Duc,Vibration analysis of auxetic laminated plate with magneto-electro-elastic face sheets subjected to blast loading,Composite Structures,280,,114925,10.1016/j.compstruct.2021.114925,https://doi.org/10.1016/j.compstruct.2021.114925,plate,False,False,matched,matched,degraded
tassi2022_effective,2022,Nada Tassi; Abderrahmane Bakkali; Nadia Fakri; Lahcen Azrar; Abdulmalik Aljinaidi,Mathematical modeling of fully coupled reinforced magneto-electro-thermo-mechanical effective properties based on conditioned micromechanics,Composite Structures,280,,114896,10.1016/j.compstruct.2021.114896,https://doi.org/10.1016/j.compstruct.2021.114896,material,False,False,matched,matched,degraded
zhou2022_enriched,2022,Liming Zhou; Jiye Wang; Mingrui Liu; Ming Li; Yingbin Chai,Evaluation of the transient performance of magneto-electro-elastic based structures with the enriched finite element method,Composite Structures,280,,114888,10.1016/j.compstruct.2021.114888,https://doi.org/10.1016/j.compstruct.2021.114888,method,False,False,matched,matched,degraded
sladek2013_large_deflection,2013,J. Sladek; V. Sladek; S. Krahulec; E. Pan,The MLPG analyses of large deflections of magnetoelectroelastic plates,Engineering Analysis with Boundary Elements,37,4,673-682,10.1016/j.enganabound.2013.02.001,https://doi.org/10.1016/j.enganabound.2013.02.001,benchmark,False,False,matched,matched,degraded
vinyas2018_arrangement,2018,M. Vinyas; S.C. Kattimani,Investigation of the effect of BaTiO3/CoFe2O4 particle arrangement on the static response of magneto-electro-thermo-elastic plates,Composite Structures,185,,51-64,10.1016/j.compstruct.2017.10.073,https://doi.org/10.1016/j.compstruct.2017.10.073,material,False,False,matched,matched,degraded
kondaiah2012_cantilever,2012,P. Kondaiah; K. Shankar; N. Ganesan,Studies on magneto-electro-elastic cantilever beam under thermal environment,Coupled Systems Mechanics,1,2,205-217,10.12989/csm.2012.1.2.205,https://doi.org/10.12989/csm.2012.1.2.205,benchmark,False,False,matched,matched,degraded
nan2008_review,2008,Ce-Wen Nan; M. I. Bichurin; Shuxiang Dong; D. Viehland; G. Srinivasan,"Multiferroic magnetoelectric composites: Historical perspective, status, and future directions",Journal of Applied Physics,103,3,031101,10.1063/1.2836410,https://doi.org/10.1063/1.2836410,foundation,False,False,matched,matched,degraded
zhao2023_dissertation,2023,亚飞 赵,磁电弹梯度结构多物理场耦合非线性建模与分析,上海大学博士学位论文,,,173 pages,,,local_predecessor,True,True,skipped(manual),skipped(manual),skipped(manual)
