time_s,w_center_mm,theta_span_K,theta_layer_01_K,theta_layer_02_K,theta_layer_03_K,theta_layer_04_K,theta_layer_05_K,theta_layer_06_K,theta_layer_07_K,theta_layer_08_K,theta_layer_09_K,theta_layer_10_K
0,0,0,0,0,0,0,0,0,0,0,0,0
0.0001,-0.00111915932079275,0.000112853304725875,5.64266523629375e-05,4.38873962822845e-05,3.13481402016318e-05,1.88088841209793e-05,6.26962804032637e-06,-6.26962804032643e-06,-1.88088841209792e-05,-3.13481402016317e-05,-4.38873962822846e-05,-5.64266523629375e-05
0.0002,-0.00565460667270144,0.000558176475100111,0.000279088237550056,0.000217068629205598,0.000155049020861142,9.30294125166852e-05,3.10098041722282e-05,-3.10098041722286e-05,-9.30294125166857e-05,-0.000155049020861142,-0.000217068629205597,-0.000279088237550055
0.0003,-0.0150411762658958,0.00149342222896827,0.000746711114484139,0.000580775311265439,0.00041483950804674,0.000248903704828046,8.29679016093475e-05,-8.29679016093494e-05,-0.000248903704828048,-0.000414839508046745,-0.000580775311265437,-0.000746711114484132
0.0004,-0.0297820448732032,0.00317312487343463,0.00158656243671731,0.00123399300633569,0.000881423575954066,0.00052885414557244,0.000176284715190811,-0.000176284715190816,-0.000528854145572442,-0.00088142357595407,-0.00123399300633569,-0.00158656243671732
0.0005,-0.0496513043179583,0.00560519364932874,0.00280259682466437,0.00217979753029451,0.00155699823592465,0.000934198941554787,0.000311399647184928,-0.000311399647184934,-0.000934198941554793,-0.00155699823592465,-0.00217979753029452,-0.00280259682466438
0.0006,-0.0732413427134484,0.00650405053318486,0.00325202526659244,0.00252935298512745,0.00180668070366247,0.00108400842219748,0.00036133614073249,-0.000361336140732495,-0.00108400842219749,-0.00180668070366247,-0.00252935298512745,-0.00325202526659243
0.0007,-0.0993345295077081,0.000619441346370666,0.000309720673185332,0.000240893856921904,0.000172067040658509,0.000103240224395113,3.44134081317045e-05,-3.44134081317041e-05,-0.000103240224395115,-0.000172067040658515,-0.000240893856921912,-0.000309720673185334
0.0008,-0.127657876951508,0.0133140713023654,-0.00665703565118269,-0.00517769439536432,-0.00369835313954595,-0.00221901188372755,-0.000739670627909181,0.000739670627909191,0.00221901188372757,0.00369835313954595,0.00517769439536432,0.00665703565118267
0.0009,-0.158110444996044,0.0256917236698357,-0.0128458618349178,-0.00999122587160278,-0.00713658990828768,-0.00428195394497261,-0.00142731798165753,0.00142731798165755,0.00428195394497262,0.00713658990828771,0.00999122587160279,0.0128458618349179
0.001,-0.190734373666506,0.0265005228196631,-0.0132502614098315,-0.0103057588743134,-0.00736125633879529,-0.00441675380327717,-0.00147225126775905,0.00147225126775907,0.00441675380327719,0.0073612563387953,0.0103057588743134,0.0132502614098316
