layer,E1,E2,v12,v23,G12,G13,G23,d31,d32,angle,hE,q31,q32,g33,k33,r33,A1,A2,PyroE,PyroM,Cv,HC,Density,zC1,zC2,IsSmtLay
1,120600000000.0,120600000000.0,0.3398,0.0,45000000000.0,45000000000.0,45000000000.0,-5.404e-11,-5.404e-11,0.0,0.0006,49.47,49.47,9.203e-09,1.755e-08,7.536e-05,2356000.0,2356000.0,0.0002492,0.0059,425.2,1.0,5600.0,-0.003,-0.0024,2.0
2,120600000000.0,120600000000.0,0.3398,0.0,45000000000.0,45000000000.0,45000000000.0,-5.404e-11,-5.404e-11,0.0,0.0006,49.47,49.47,9.203e-09,1.755e-08,7.536e-05,2356000.0,2356000.0,0.0002492,0.0059,425.2,1.0,5600.0,-0.0024,-0.0018,2.0
3,120600000000.0,120600000000.0,0.3398,0.0,45000000000.0,45000000000.0,45000000000.0,-5.404e-11,-5.404e-11,0.0,0.0006,49.47,49.47,9.203e-09,1.755e-08,7.536e-05,2356000.0,2356000.0,0.0002492,0.0059,425.2,1.0,5600.0,-0.0018,-0.0012,2.0
4,120600000000.0,120600000000.0,0.3398,0.0,45000000000.0,45000000000.0,45000000000.0,-5.404e-11,-5.404e-11,0.0,0.0006,49.47,49.47,9.203e-09,1.755e-08,7.536e-05,2356000.0,2356000.0,0.0002492,0.0059,425.2,1.0,5600.0,-0.0012,-0.0006,2.0
5,120600000000.0,120600000000.0,0.3398,0.0,45000000000.0,45000000000.0,45000000000.0,-5.404e-11,-5.404e-11,0.0,0.0006,49.47,49.47,9.203e-09,1.755e-08,7.536e-05,2356000.0,2356000.0,0.0002492,0.0059,425.2,1.0,5600.0,-0.0006,0.0,2.0
6,120600000000.0,120600000000.0,0.3398,0.0,45000000000.0,45000000000.0,45000000000.0,-5.404e-11,-5.404e-11,0.0,0.0006,49.47,49.47,9.203e-09,1.755e-08,7.536e-05,2356000.0,2356000.0,0.0002492,0.0059,425.2,1.0,5600.0,0.0,0.0006,2.0
7,120600000000.0,120600000000.0,0.3398,0.0,45000000000.0,45000000000.0,45000000000.0,-5.404e-11,-5.404e-11,0.0,0.0006,49.47,49.47,9.203e-09,1.755e-08,7.536e-05,2356000.0,2356000.0,0.0002492,0.0059,425.2,1.0,5600.0,0.0006,0.0012,2.0
8,120600000000.0,120600000000.0,0.3398,0.0,45000000000.0,45000000000.0,45000000000.0,-5.404e-11,-5.404e-11,0.0,0.0006,49.47,49.47,9.203e-09,1.755e-08,7.536e-05,2356000.0,2356000.0,0.0002492,0.0059,425.2,1.0,5600.0,0.0012,0.0018,2.0
9,120600000000.0,120600000000.0,0.3398,0.0,45000000000.0,45000000000.0,45000000000.0,-5.404e-11,-5.404e-11,0.0,0.0006,49.47,49.47,9.203e-09,1.755e-08,7.536e-05,2356000.0,2356000.0,0.0002492,0.0059,425.2,1.0,5600.0,0.0018,0.0024,2.0
10,120600000000.0,120600000000.0,0.3398,0.0,45000000000.0,45000000000.0,45000000000.0,-5.404e-11,-5.404e-11,0.0,0.0006,49.47,49.47,9.203e-09,1.755e-08,7.536e-05,2356000.0,2356000.0,0.0002492,0.0059,425.2,1.0,5600.0,0.0024,0.003,2.0
