time_s,w_center_mm,theta_span_K,theta_layer_01_K,theta_layer_02_K,theta_layer_03_K,theta_layer_04_K,theta_layer_05_K,theta_layer_06_K,theta_layer_07_K,theta_layer_08_K,theta_layer_09_K,theta_layer_10_K
0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
0.0001,-0.00260475323746161,0.00141301203359961,0.000706506016799805,0.000549504679733179,0.000392503342666558,0.000235502005599934,7.85006685333108e-05,-7.8500668533312e-05,-0.000235502005599935,-0.000392503342666558,-0.00054950467973318,-0.000706506016799803
0.0002,-0.010326693241365,0.00493557479064344,0.00246778739532171,0.00191939019636134,0.00137099299740096,0.000822595798440568,0.000274198599480189,-0.000274198599480193,-0.000822595798440574,-0.00137099299740096,-0.00191939019636134,-0.00246778739532172
0.0003,-0.0229120378835666,0.00872346021477496,0.00436173010738748,0.00339245675019026,0.00242318339299305,0.00145391003579582,0.000484636678598605,-0.000484636678598615,-0.00145391003579584,-0.00242318339299305,-0.00339245675019028,-0.00436173010738749
0.0004,-0.039979476244723,0.0105242818705352,0.00526214093526756,0.00409277628298586,0.00292341163070419,0.00175404697842251,0.000584682326140832,-0.000584682326140846,-0.00175404697842253,-0.00292341163070421,-0.00409277628298589,-0.00526214093526761
0.0005,-0.0610600808808839,0.00857352670213895,0.00428676335106947,0.00333414927305402,0.0023815351950386,0.00142892111702315,0.000476307039007707,-0.000476307039007736,-0.00142892111702319,-0.00238153519503864,-0.0033341492730541,-0.00428676335106948
0.0006,-0.0856371956435102,0.00237979734409448,0.00118989867204723,0.000925476744925615,0.000661054817804004,0.000396632890682408,0.000132210963560773,-0.000132210963560828,-0.000396632890682434,-0.000661054817804063,-0.00092547674492562,-0.00118989867204725
0.0007,-0.11317782218613,0.00686274549396587,-0.00343137274698294,-0.00266884546987564,-0.00190631819276834,-0.00114379091566103,-0.000381263638553692,0.000381263638553629,0.00114379091566096,0.00190631819276825,0.00266884546987561,0.00343137274698293
0.0008,-0.143151205098269,0.0163775194694883,-0.00818875973474426,-0.00636903534924553,-0.00454931096374678,-0.00272958657824811,-0.000909862192749405,0.000909862192749295,0.002729586578248,0.00454931096374668,0.00636903534924541,0.00818875973474401
0.0009,-0.17503574785404,0.0224026204775627,-0.0112013102387815,-0.00871213018571894,-0.00622295013265642,-0.00373377007959388,-0.00124459002653134,0.00124459002653119,0.00373377007959373,0.0062229501326563,0.00871213018571883,0.0112013102387812
0.001,-0.208320134976274,0.0211035681557625,-0.0105517840778814,-0.00820694317168567,-0.0058621022654897,-0.00351726135929386,-0.00117242045309803,0.00117242045309784,0.00351726135929365,0.00586210226548958,0.00820694317168538,0.0105517840778811
0.0011,-0.242506878380864,0.00952426643056944,-0.0047621332152849,-0.00370388138966631,-0.0026456295640472,-0.00158737773842839,-0.000529125912809567,0.00052912591280928,0.00158737773842813,0.00264562956404697,0.00370388138966574,0.00476213321528454
0.0012,-0.277125562778469,0.013711748900457,0.00685587445022825,0.00533234679462197,0.00380881913901567,0.00228529148340924,0.000761763827802938,-0.000761763827803352,-0.00228529148340962,-0.00380881913901595,-0.00533234679462228,-0.00685587445022878
0.0013,-0.31175909471568,0.0481571475121164,0.024078573756058,0.0187277795880452,0.0133769854200322,0.00802619125201913,0.0026753970840062,-0.0026753970840067,-0.00802619125201966,-0.0133769854200325,-0.0187277795880456,-0.0240785737560584
0.0014,-0.346080594900883,0.0918161105290635,0.0459080552645316,0.0357062652057466,0.0255044751469618,0.0153026850881769,0.00510089502939208,-0.00510089502939274,-0.0153026850881775,-0.0255044751469624,-0.0357062652057472,-0.0459080552645319
0.0015,-0.379893184687761,0.141838922879495,0.0709194614397472,0.055159581119803,0.0393997007998594,0.0236398204799153,0.00787994015997149,-0.00787994015997232,-0.0236398204799162,-0.0393997007998599,-0.0551595811198038,-0.0709194614397478
0.0016,-0.413161754049893,0.195407414628525,0.0977037073142622,0.0759917723555372,0.0542798373968122,0.032567902438087,0.010855967479362,-0.010855967479363,-0.032567902438088,-0.0542798373968131,-0.075991772355538,-0.0977037073142632
0.0017,-0.446026121974127,0.250529154454906,0.125264577227452,0.0974280045102405,0.0695914317930289,0.041754859075817,0.0139182863586053,-0.0139182863586065,-0.0417548590758182,-0.0695914317930302,-0.0974280045102419,-0.125264577227453
0.0018,-0.478788937555559,0.306495181927331,0.153247590963665,0.119192570749517,0.0851375505353691,0.0510825303212212,0.0170275101070733,-0.0170275101070746,-0.0510825303212225,-0.0851375505353704,-0.119192570749518,-0.153247590963666
0.0019,-0.511878134867801,0.363870304521597,0.181935152260797,0.141505118425064,0.101075084589331,0.0606450507535985,0.0202150169178657,-0.0202150169178673,-0.0606450507536001,-0.101075084589333,-0.141505118425066,-0.181935152260799
0.002,-0.545790772583965,0.424038845252673,0.212019422626335,0.164903995376038,0.117788568125741,0.0706731408754446,0.0235577136251475,-0.0235577136251494,-0.0706731408754463,-0.117788568125743,-0.16490399537604,-0.212019422626337
0.0021,-0.581030425105758,0.48847231642993,0.244236158214964,0.189961456389416,0.135686754563868,0.0814120527383206,0.0271373509127729,-0.0271373509127749,-0.0814120527383228,-0.135686754563871,-0.189961456389418,-0.244236158214966
