time_s,w_center_zeta_0000_16_modes_mm,theta_span_zeta_0000_16_modes_K,theta_layer_01_zeta_0000_16_modes_K,theta_layer_02_zeta_0000_16_modes_K,theta_layer_03_zeta_0000_16_modes_K,theta_layer_04_zeta_0000_16_modes_K,theta_layer_05_zeta_0000_16_modes_K,theta_layer_06_zeta_0000_16_modes_K,theta_layer_07_zeta_0000_16_modes_K,theta_layer_08_zeta_0000_16_modes_K,theta_layer_09_zeta_0000_16_modes_K,theta_layer_10_zeta_0000_16_modes_K,w_center_zeta_0050_16_modes_mm,theta_span_zeta_0050_16_modes_K,theta_layer_01_zeta_0050_16_modes_K,theta_layer_02_zeta_0050_16_modes_K,theta_layer_03_zeta_0050_16_modes_K,theta_layer_04_zeta_0050_16_modes_K,theta_layer_05_zeta_0050_16_modes_K,theta_layer_06_zeta_0050_16_modes_K,theta_layer_07_zeta_0050_16_modes_K,theta_layer_08_zeta_0050_16_modes_K,theta_layer_09_zeta_0050_16_modes_K,theta_layer_10_zeta_0050_16_modes_K,w_center_zeta_0080_16_modes_mm,theta_span_zeta_0080_16_modes_K,theta_layer_01_zeta_0080_16_modes_K,theta_layer_02_zeta_0080_16_modes_K,theta_layer_03_zeta_0080_16_modes_K,theta_layer_04_zeta_0080_16_modes_K,theta_layer_05_zeta_0080_16_modes_K,theta_layer_06_zeta_0080_16_modes_K,theta_layer_07_zeta_0080_16_modes_K,theta_layer_08_zeta_0080_16_modes_K,theta_layer_09_zeta_0080_16_modes_K,theta_layer_10_zeta_0080_16_modes_K,w_center_zeta_0150_16_modes_mm,theta_span_zeta_0150_16_modes_K,theta_layer_01_zeta_0150_16_modes_K,theta_layer_02_zeta_0150_16_modes_K,theta_layer_03_zeta_0150_16_modes_K,theta_layer_04_zeta_0150_16_modes_K,theta_layer_05_zeta_0150_16_modes_K,theta_layer_06_zeta_0150_16_modes_K,theta_layer_07_zeta_0150_16_modes_K,theta_layer_08_zeta_0150_16_modes_K,theta_layer_09_zeta_0150_16_modes_K,theta_layer_10_zeta_0150_16_modes_K
0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
0.0001,-0.00206684477869926,0.00107142162783892,-0.000535710813919463,-0.000416663966381806,-0.000297617118844149,-0.00017857027130649,-5.95234237688334e-05,5.95234237688241e-05,0.000178570271306482,0.000297617118844138,0.000416663966381797,0.000535710813919453,-0.00206763029068407,0.00106518617487575,-0.00053259308743788,-0.000414239068007242,-0.000295885048576603,-0.000177531029145963,-5.9177009715324e-05,5.91770097153152e-05,0.000177531029145954,0.000295885048576594,0.000414239068007235,0.000532593087437874,-0.00206809682018447,0.00106146520229205,-0.00053073260114603,-0.000412792023113581,-0.000294851445081131,-0.00017691086704868,-5.89702890162296e-05,5.89702890162208e-05,0.000176910867048672,0.000294851445081119,0.000412792023113572,0.00053073260114602,-0.00206917155976557,0.00105284167294703,-0.00052642083647352,-0.000409438428368294,-0.000292456020263068,-0.000175473612157843,-5.84912040526174e-05,5.84912040526084e-05,0.000175473612157835,0.00029245602026306,0.000409438428368285,0.00052642083647351
0.0002,-0.00881202838993414,0.00199374740547643,-0.000996873702738223,-0.000775346213240844,-0.000553818723743466,-0.000332291234246082,-0.000110763744748703,0.000110763744748677,0.000332291234246056,0.00055381872374344,0.000775346213240821,0.000996873702738206,-0.00881285711745992,0.00196763456650612,-0.000983817283253073,-0.000765191220307949,-0.00054656515736282,-0.000327939094417697,-0.000109313031472576,0.000109313031472549,0.000327939094417671,0.000546565157362793,0.000765191220307917,0.000983817283253045,-0.00881330871682214,0.001952149142447,-0.000976074571223509,-0.000759169110951622,-0.000542263650679736,-0.000325358190407847,-0.000108452730135958,0.000108452730135933,0.000325358190407819,0.000542263650679713,0.000759169110951601,0.000976074571223494,-0.00881423152204837,0.00191653901136874,-0.000958269505684378,-0.00074532072664341,-0.000532371947602442,-0.000319423168561469,-0.000106474389520498,0.000106474389520474,0.000319423168561441,0.000532371947602418,0.00074532072664338,0.000958269505684362
0.0003,-0.0211433401303452,0.000768800661007787,0.000384400330503883,0.000298978034836343,0.000213555739168811,0.000128133443501278,4.27111478337479e-05,-4.27111478337793e-05,-0.000128133443501311,-0.000213555739168843,-0.000298978034836372,-0.000384400330503904,-0.0211262233190318,0.000774878657204598,0.000387439328602284,0.000301341700023994,0.000215244071445712,0.000129146442867419,4.30488142891272e-05,-4.30488142891624e-05,-0.000129146442867452,-0.000215244071445739,-0.000301341700024013,-0.000387439328602313,-0.0211158915500649,0.000778358497371056,0.000389179248685509,0.000302694971199831,0.000216210693714168,0.00012972641622849,4.324213874282e-05,-4.32421387428516e-05,-0.000129726416228523,-0.000216210693714194,-0.000302694971199861,-0.000389179248685547,-0.0210916107908961,0.00078601348351436,0.000393006741757166,0.00030567191025557,0.000218337078753977,0.000131002247252383,4.36674157507817e-05,-4.36674157508161e-05,-0.000131002247252415,-0.000218337078754011,-0.000305671910255602,-0.000393006741757194
0.0004,-0.0390150380851917,0.00622204670209225,0.0031110233510461,0.00241968482859141,0.00172834630613671,0.00103700778368202,0.000345669261227331,-0.000345669261227358,-0.00103700778368205,-0.00172834630613674,-0.00241968482859143,-0.00311102335104614,-0.0389439085064393,0.00613064134993183,0.0030653206749659,0.00238413830275126,0.00170295593053661,0.00102177355832197,0.00034059118610731,-0.000340591186107337,-0.00102177355832197,-0.00170295593053664,-0.00238413830275129,-0.00306532067496593,-0.0389013921959461,0.00607670756707062,0.00303835378353529,0.00236316405386078,0.00168797432418627,0.00101278459451175,0.000337594864837244,-0.000337594864837267,-0.00101278459451178,-0.0016879743241863,-0.0023631640538608,-0.00303835378353533,-0.0388026572564565,0.0059534799504017,0.00297673997520084,0.00231524220293398,0.00165374443066714,0.000992246658400269,0.000330748886133416,-0.000330748886133444,-0.0009922466584003,-0.00165374443066715,-0.00231524220293401,-0.00297673997520086
0.0005,-0.0610897996666752,0.00818822086106305,0.00409411043053155,0.00318430811263557,0.0022745057947397,0.0013647034768438,0.00045490115894793,-0.000454901158947953,-0.00136470347684384,-0.00227450579473972,-0.0031843081126356,-0.0040941104305315,-0.0609373399150979,0.00802504622014623,0.00401252311007311,0.00312085130783463,0.00222917950559615,0.00133750770335769,0.000445835901119219,-0.000445835901119243,-0.0013375077033577,-0.00222917950559617,-0.00312085130783465,-0.00401252311007312,-0.0608465081752331,0.00792980403513409,0.00396490201756705,0.00308381268032987,0.0022027233430928,0.00132163400585566,0.000440544668618553,-0.000440544668618576,-0.00132163400585569,-0.00220272334309282,-0.00308381268032992,-0.00396490201756704,-0.0606364123628697,0.00771512981482624,0.00385756490741311,0.0030003282613213,0.0021430916152295,0.0012858549691377,0.000428618323045892,-0.000428618323045919,-0.00128585496913772,-0.00214309161522953,-0.00300032826132135,-0.00385756490741313
0.0006,-0.0858057509950804,0.00134433631243247,0.000672168156216207,0.000522797454834827,0.000373426753453452,0.000224056052072066,7.46853506906752e-05,-7.46853506907146e-05,-0.000224056052072099,-0.00037342675345348,-0.000522797454834875,-0.000672168156216262,-0.0855743192714123,0.00132264685010117,0.000661323425050555,0.000514362663928205,0.000367401902805881,0.000220441141683492,7.34803805611532e-05,-7.34803805612026e-05,-0.000220441141683542,-0.000367401902805913,-0.000514362663928249,-0.000661323425050617,-0.0854364302406702,0.00131205754432518,0.000656028772162578,0.000510244600570867,0.000364460428979169,0.000218676257387498,7.28920857958163e-05,-7.28920857958597e-05,-0.000218676257387538,-0.000364460428979213,-0.000510244600570917,-0.0006560287721626,-0.0851174606956153,0.0012941287423991,0.000647064371199514,0.000503272288710755,0.000359480206221989,0.000215688123733168,7.18960412443758e-05,-7.18960412444226e-05,-0.000215688123733206,-0.000359480206222015,-0.000503272288710803,-0.000647064371199584
0.0007,-0.112629072691732,0.012607371652635,-0.00630368582631755,-0.00490286675380254,-0.00350204768128754,-0.00210122860877254,-0.000700409536257546,0.000700409536257464,0.00210122860877247,0.00350204768128746,0.0049028667538025,0.00630368582631742,-0.112330632030953,0.0122259892468891,-0.00611299462344461,-0.00475455137379021,-0.00339610812413593,-0.00203766487448157,-0.000679221624827222,0.000679221624827133,0.00203766487448149,0.00339610812413583,0.00475455137379018,0.00611299462344448,-0.112152372645426,0.0119989751977107,-0.00599948759885544,-0.004666268132443,-0.00333304866603079,-0.00199982919961848,-0.000666609733206183,0.000666609733206108,0.00199982919961839,0.0033330486660307,0.004666268132443,0.00599948759885526,-0.111738767923104,0.0114745329929802,-0.00573726649649017,-0.00446231838615902,-0.00318737027582791,-0.00191242216549675,-0.000637474055165604,0.00063747405516553,0.00191242216549667,0.00318737027582788,0.00446231838615893,0.00573726649649006
0.0008,-0.142059226554701,0.0256727841188996,-0.0128363920594498,-0.00998386049068321,-0.00713132892191666,-0.00427879735314999,-0.00142626578438339,0.00142626578438324,0.00427879735314986,0.00713132892191645,0.00998386049068304,0.0128363920594497,-0.141673343161246,0.0248221788024948,-0.0124110894012474,-0.00965306953430364,-0.00689504966735972,-0.00413702980041587,-0.00137900993347199,0.00137900993347187,0.00413702980041573,0.00689504966735957,0.00965306953430355,0.0124110894012474,-0.141442465355641,0.0243194077373264,-0.0121597038686633,-0.0094575474534047,-0.00675539103814627,-0.00405323462288781,-0.00135107820762931,0.00135107820762918,0.00405323462288767,0.00675539103814617,0.00945754745340466,0.0121597038686631,-0.140905719527973,0.0231677876470325,-0.0115838938235163,-0.00900969519606825,-0.00643549656862018,-0.00386129794117214,-0.00128709931372409,0.00128709931372397,0.003861297941172,0.00643549656862011,0.00900969519606819,0.0115838938235162
0.0009,-0.174417180518901,0.0303946119756538,-0.0151973059878269,-0.011820126879421,-0.00844294777101508,-0.00506576866260909,-0.00168858955420307,0.00168858955420292,0.00506576866260889,0.00844294777101487,0.0118201268794209,0.0151973059878268,-0.173884898972626,0.0292536394271943,-0.0146268197135973,-0.0113764153327979,-0.0081260109519985,-0.0048756065711992,-0.00162520219039977,0.0016252021903996,0.00487560657119899,0.00812601095199828,0.0113764153327978,0.014626819713597,-0.173567073051791,0.028578875912197,-0.0142894379560986,-0.0111140072991878,-0.00793857664227694,-0.00476314598536624,-0.00158771532845548,0.00158771532845531,0.00476314598536607,0.00793857664227688,0.0111140072991876,0.0142894379560984,-0.172830012405842,0.0270323070787223,-0.0135161535393613,-0.0105125638639476,-0.00750897418853408,-0.00450538451312049,-0.00150179483770689,0.00150179483770672,0.00450538451312037,0.00750897418853395,0.0105125638639476,0.0135161535393611
