time_s,w_center_04_modes_mm,theta_span_04_modes_K,theta_layer_01_04_modes_K,theta_layer_02_04_modes_K,theta_layer_03_04_modes_K,theta_layer_04_04_modes_K,theta_layer_05_04_modes_K,theta_layer_06_04_modes_K,theta_layer_07_04_modes_K,theta_layer_08_04_modes_K,theta_layer_09_04_modes_K,theta_layer_10_04_modes_K,w_center_06_modes_mm,theta_span_06_modes_K,theta_layer_01_06_modes_K,theta_layer_02_06_modes_K,theta_layer_03_06_modes_K,theta_layer_04_06_modes_K,theta_layer_05_06_modes_K,theta_layer_06_06_modes_K,theta_layer_07_06_modes_K,theta_layer_08_06_modes_K,theta_layer_09_06_modes_K,theta_layer_10_06_modes_K,w_center_08_modes_mm,theta_span_08_modes_K,theta_layer_01_08_modes_K,theta_layer_02_08_modes_K,theta_layer_03_08_modes_K,theta_layer_04_08_modes_K,theta_layer_05_08_modes_K,theta_layer_06_08_modes_K,theta_layer_07_08_modes_K,theta_layer_08_08_modes_K,theta_layer_09_08_modes_K,theta_layer_10_08_modes_K,w_center_12_modes_mm,theta_span_12_modes_K,theta_layer_01_12_modes_K,theta_layer_02_12_modes_K,theta_layer_03_12_modes_K,theta_layer_04_12_modes_K,theta_layer_05_12_modes_K,theta_layer_06_12_modes_K,theta_layer_07_12_modes_K,theta_layer_08_12_modes_K,theta_layer_09_12_modes_K,theta_layer_10_12_modes_K,w_center_16_modes_mm,theta_span_16_modes_K,theta_layer_01_16_modes_K,theta_layer_02_16_modes_K,theta_layer_03_16_modes_K,theta_layer_04_16_modes_K,theta_layer_05_16_modes_K,theta_layer_06_16_modes_K,theta_layer_07_16_modes_K,theta_layer_08_16_modes_K,theta_layer_09_16_modes_K,theta_layer_10_16_modes_K
0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
0.0001,-0.00257078155318196,0.00123848772727457,-0.000619243863637285,-0.000481634116162332,-0.00034402436868738,-0.000206414621212428,-6.8804873737476e-05,6.88048737374759e-05,0.000206414621212428,0.00034402436868738,0.000481634116162332,0.000619243863637283,-0.00248770157216931,0.0010589267203501,-0.00052946336017505,-0.000411804835691703,-0.000294146311208359,-0.000176487786725016,-5.88292622416723e-05,5.88292622416714e-05,0.000176487786725015,0.000294146311208359,0.000411804835691704,0.000529463360175049,-0.00260475323746162,0.00141301203359958,0.000706506016799793,0.000549504679733171,0.000392503342666553,0.00023550200559993,7.850066853331e-05,-7.85006685333104e-05,-0.000235502005599931,-0.000392503342666551,-0.000549504679733173,-0.000706506016799792,-0.00259667249829452,0.00142349869956954,0.000711749349784768,0.000553582827610375,0.000395416305435982,0.000237249783261589,7.90832610871962e-05,-7.90832610871968e-05,-0.000237249783261589,-0.000395416305435982,-0.000553582827610376,-0.000711749349784772,-0.00206809682018447,0.00106146520229205,-0.00053073260114603,-0.000412792023113581,-0.000294851445081131,-0.00017691086704868,-5.89702890162296e-05,5.89702890162208e-05,0.000176910867048672,0.000294851445081119,0.000412792023113572,0.00053073260114602
0.0002,-0.0102086661557042,0.00479960148889473,-0.00239980074444736,-0.00186651169012572,-0.00133322263580409,-0.000799933581482457,-0.000266644527160819,0.000266644527160817,0.000799933581482457,0.00133322263580409,0.00186651169012572,0.00239980074444736,-0.0098975517090394,0.00412718892174007,-0.00206359446087003,-0.00160501791401003,-0.00114644136715002,-0.000687864820290013,-0.000229288273430006,0.000229288273430002,0.000687864820290011,0.00114644136715002,0.00160501791401002,0.00206359446087003,-0.0103266932413651,0.00493557479064333,0.00246778739532166,0.00191939019636129,0.00137099299740093,0.000822595798440551,0.000274198599480183,-0.000274198599480186,-0.000822595798440557,-0.00137099299740093,-0.00191939019636129,-0.00246778739532167,-0.010300562045904,0.00496948618321891,0.00248474309160945,0.00193257796014067,0.00138041282867191,0.000828247697203145,0.000276082565734382,-0.000276082565734383,-0.000828247697203148,-0.00138041282867191,-0.00193257796014068,-0.00248474309160946,-0.00881330871682214,0.001952149142447,-0.000976074571223509,-0.000759169110951622,-0.000542263650679736,-0.000325358190407847,-0.000108452730135958,0.000108452730135933,0.000325358190407819,0.000542263650679713,0.000759169110951601,0.000976074571223494
0.0003,-0.0227050591921292,0.0102480277265194,-0.00512401386325973,-0.00398534411586867,-0.00284667436847763,-0.00170800462108658,-0.000569334873695526,0.000569334873695522,0.00170800462108657,0.00284667436847763,0.00398534411586867,0.00512401386325971,-0.0220778834170227,0.00889251088209929,-0.00444625544104964,-0.00345819867637195,-0.00247014191169426,-0.00148208514701655,-0.000494028382338854,0.000494028382338845,0.00148208514701654,0.00247014191169425,0.00345819867637195,0.00444625544104964,-0.0229120378835666,0.00872346021477474,0.00436173010738736,0.00339245675019018,0.00242318339299299,0.00145391003579579,0.000484636678598593,-0.000484636678598601,-0.0014539100357958,-0.00242318339299299,-0.00339245675019019,-0.00436173010738738,-0.0228715137210544,0.0087760498785655,0.00438802493928274,0.00341290828610881,0.00243779163293485,0.00146267497976091,0.000487558326586968,-0.000487558326586973,-0.00146267497976091,-0.00243779163293485,-0.00341290828610881,-0.00438802493928275,-0.0211158915500649,0.000778358497371056,0.000389179248685509,0.000302694971199831,0.000216210693714168,0.00012972641622849,4.324213874282e-05,-4.32421387428516e-05,-0.000129726416228523,-0.000216210693714194,-0.000302694971199861,-0.000389179248685547
0.0004,-0.039731696776727,0.0169000206107022,-0.00845001030535112,-0.00657223023749532,-0.00469445016963954,-0.00281667010178371,-0.000938890033927908,0.000938890033927897,0.00281667010178371,0.00469445016963952,0.00657223023749531,0.00845001030535111,-0.0387784350745742,0.0148397332946155,-0.00741986664730775,-0.00577100739235048,-0.00412214813739319,-0.00247328888243592,-0.00082442962747865,0.000824429627478632,0.00247328888243591,0.00412214813739318,0.00577100739235047,0.00741986664730774,-0.0399794762447231,0.0105242818705347,0.00526214093526736,0.00409277628298573,0.00292341163070409,0.00175404697842245,0.000584682326140815,-0.000584682326140823,-0.00175404697842246,-0.00292341163070412,-0.00409277628298574,-0.00526214093526738,-0.0399389171481249,0.0105769168695458,0.00528845843477286,0.00411324544926781,0.00293803246376273,0.00176281947825763,0.00058760649275254,-0.000587606492752551,-0.00176281947825764,-0.00293803246376274,-0.00411324544926781,-0.00528845843477289,-0.0389013921959461,0.00607670756707062,0.00303835378353529,0.00236316405386078,0.00168797432418627,0.00101278459451175,0.000337594864837244,-0.000337594864837267,-0.00101278459451178,-0.0016879743241863,-0.0023631640538608,-0.00303835378353533
0.0005,-0.060857410393025,0.0238642355305496,-0.0119321177652748,-0.00928053603965819,-0.00662895431404156,-0.00397737258842495,-0.00132579086280832,0.0013257908628083,0.00397737258842492,0.00662895431404155,0.00928053603965815,0.0119321177652748,-0.0596478697118565,0.0212500517045609,-0.0106250258522805,-0.00826390899621811,-0.0059027921401558,-0.00354167528409348,-0.00118055842803117,0.00118055842803114,0.00354167528409346,0.00590279214015578,0.00826390899621808,0.0106250258522804,-0.061060080880884,0.00857352670213844,0.00428676335106922,0.00333414927305377,0.00238153519503844,0.00142892111702305,0.000476307039007676,-0.000476307039007704,-0.00142892111702308,-0.00238153519503848,-0.0033341492730538,-0.00428676335106922,-0.0610336663335771,0.0086078058105996,0.00430390290529979,0.00334748003745539,0.00239105716961099,0.00143463430176659,0.000478211433922185,-0.00047821143392221,-0.00143463430176661,-0.00239105716961098,-0.0033474800374554,-0.00430390290529981,-0.0608465081752331,0.00792980403513409,0.00396490201756705,0.00308381268032987,0.0022027233430928,0.00132163400585566,0.000440544668618553,-0.000440544668618576,-0.00132163400585569,-0.00220272334309282,-0.00308381268032992,-0.00396490201756704
0.0006,-0.0855698764587234,0.0300944022265335,-0.0150472011132667,-0.011703378643652,-0.0083595561740371,-0.00501573370442228,-0.00167191123480743,0.0016719112348074,0.00501573370442225,0.00835955617403707,0.0117033786436519,0.0150472011132667,-0.0842359854015176,0.0272114595676643,-0.0136057297838322,-0.0105822342763139,-0.00755873876879569,-0.0045352432612774,-0.00151174775375915,0.00151174775375911,0.00453524326127737,0.00755873876879563,0.0105822342763139,0.0136057297838321,-0.0856371956435106,0.00237979734409405,0.001189898672047,0.000925476744925396,0.000661054817803849,0.000396632890682302,0.00013221096356075,-0.000132210963560801,-0.000396632890682354,-0.000661054817803905,-0.000925476744925454,-0.00118989867204705,-0.0856283359385374,0.0023912949020185,0.00119564745100925,0.000929948017451594,0.000664248583893988,0.000398549150336409,0.000132849716778782,-0.000132849716778828,-0.000398549150336435,-0.000664248583894033,-0.000929948017451651,-0.00119564745100926,-0.0854364302406702,0.00131205754432518,0.000656028772162578,0.000510244600570867,0.000364460428979169,0.000218676257387498,7.28920857958163e-05,-7.28920857958597e-05,-0.000218676257387538,-0.000364460428979213,-0.000510244600570917,-0.0006560287721626
0.0007,-0.113301161475906,0.0344506454698576,-0.0172253227349289,-0.013397473238278,-0.00956962374162717,-0.00574177424497629,-0.00191392474832546,0.00191392474832539,0.00574177424497624,0.00956962374162712,0.013397473238278,0.0172253227349288,-0.112004208503829,0.0316475372028447,-0.0158237686014224,-0.0123073755788841,-0.0087909825563458,-0.00527458953380748,-0.00175819651126919,0.00175819651126911,0.00527458953380743,0.00879098255634575,0.012307375578884,0.0158237686014223,-0.11317782218613,0.00686274549396684,-0.00343137274698347,-0.00266884546987609,-0.00190631819276859,-0.00114379091566116,-0.000381263638553747,0.000381263638553686,0.00114379091566111,0.00190631819276855,0.00266884546987596,0.00343137274698337,-0.113176764165507,0.00686137246253519,-0.00343068623126764,-0.0026683115132082,-0.0019059367951487,-0.00114356207708924,-0.000381187359029761,0.000381187359029713,0.00114356207708921,0.00190593679514863,0.00266831151320819,0.00343068623126755,-0.112152372645426,0.0119989751977107,-0.00599948759885544,-0.004666268132443,-0.00333304866603079,-0.00199982919961848,-0.000666609733206183,0.000666609733206108,0.00199982919961839,0.0033330486660307,0.004666268132443,0.00599948759885526
0.0008,-0.143455679609268,0.0357657667328539,-0.017882883366427,-0.0139089092849987,-0.00993493520357053,-0.00596096112214235,-0.00198698704071414,0.00198698704071405,0.00596096112214226,0.00993493520357046,0.0139089092849986,0.0178828833664269,-0.14234663207809,0.0333687790470331,-0.0166843895235166,-0.0129767474071796,-0.00926910529084265,-0.00556146317450555,-0.00185382105816856,0.00185382105816846,0.00556146317450548,0.00926910529084252,0.0129767474071795,0.0166843895235165,-0.14315120509827,0.0163775194694891,-0.00818875973474462,-0.00636903534924583,-0.00454931096374706,-0.0027295865782483,-0.000909862192749457,0.000909862192749348,0.0027295865782482,0.00454931096374698,0.00636903534924573,0.00818875973474448,-0.143142506148036,0.0163662305287744,-0.00818311526438723,-0.00636464520563445,-0.00454617514688178,-0.00272770508812909,-0.00090923502937639,0.000909235029376308,0.00272770508812901,0.00454617514688171,0.00636464520563436,0.00818311526438718,-0.141442465355641,0.0243194077373264,-0.0121597038686633,-0.0094575474534047,-0.00675539103814627,-0.00405323462288781,-0.00135107820762931,0.00135107820762918,0.00405323462288767,0.00675539103814617,0.00945754745340466,0.0121597038686631
0.0009,-0.175439064650113,0.0329125337315941,-0.0164562668657971,-0.0127993186733978,-0.00914237048099844,-0.00548542228859913,-0.00182847409619975,0.00182847409619959,0.00548542228859896,0.0091423704809983,0.0127993186733976,0.016456266865797,-0.174621728754862,0.0311460232611051,-0.0155730116305526,-0.0121123423793189,-0.00865167312808485,-0.00519100387685095,-0.00173033462561704,0.00173033462561689,0.00519100387685084,0.00865167312808469,0.0121123423793187,0.0155730116305525,-0.17503574785404,0.0224026204775641,-0.0112013102387821,-0.00871213018571952,-0.0062229501326568,-0.00373377007959412,-0.00124459002653141,0.00124459002653128,0.00373377007959396,0.00622295013265672,0.00871213018571934,0.011201310238782,-0.1750098938405,0.0223690687939414,-0.0111845343969708,-0.00869908230875508,-0.00621363022053933,-0.00372817813232362,-0.00124272604410793,0.00124272604410778,0.00372817813232352,0.00621363022053923,0.0086990823087549,0.0111845343969706,-0.173567073051791,0.028578875912197,-0.0142894379560986,-0.0111140072991878,-0.00793857664227694,-0.00476314598536624,-0.00158771532845548,0.00158771532845531,0.00476314598536607,0.00793857664227688,0.0111140072991876,0.0142894379560984
