time_s,w_center_mm,theta_span_K,theta_layer_01_K,theta_layer_02_K,theta_layer_03_K,theta_layer_04_K,theta_layer_05_K,theta_layer_06_K,theta_layer_07_K,theta_layer_08_K,theta_layer_09_K,theta_layer_10_K
0,0,0,0,0,0,0,0,0,0,0,0,0
0.0001,-0.00109033209207881,0.000108264352123446,5.41321760617229e-05,3.94814526937261e-05,2.66847332144494e-05,1.53745317699792e-05,5.12484392332639e-06,-5.12484392332635e-06,-1.53745317699791e-05,-2.66847332144492e-05,-3.94814526937261e-05,-5.41321760617229e-05
0.0002,-0.00548810247944969,0.000529725992870056,0.000264862996435029,0.000193178560790621,0.000130565569545727,7.52259533911783e-05,2.50753177970595e-05,-2.50753177970592e-05,-7.52259533911778e-05,-0.000130565569545726,-0.000193178560790622,-0.000264862996435027
0.0003,-0.0145347196028752,0.00137586162806543,0.000687930814032715,0.000501744246523916,0.000339119015306729,0.000195384980345771,6.51283267819245e-05,-6.51283267819236e-05,-0.000195384980345771,-0.000339119015306729,-0.000501744246523917,-0.000687930814032714
0.0004,-0.0287884273851987,0.00285542494095498,0.00142771247047749,0.00104130604871912,0.000703798168730439,0.000405496551823874,0.000135165517274625,-0.000135165517274625,-0.000405496551823875,-0.00070379816873044,-0.00104130604871911,-0.00142771247047749
0.0005,-0.0483997114366195,0.00542260834250904,0.00271130417125451,0.00197749721447795,0.00133655126648991,0.000770060159257202,0.000256686719752403,-0.000256686719752403,-0.000770060159257205,-0.00133655126648991,-0.00197749721447795,-0.00271130417125453
0.0006,-0.0722925324555727,0.00842001966284644,0.00421000983142322,0.00307058234292913,0.00207534589139075,0.00119572008025943,0.000398573360086474,-0.000398573360086479,-0.00119572008025943,-0.00207534589139075,-0.00307058234292912,-0.00421000983142321
0.0007,-0.0990994987895162,0.00748758423446766,0.00374379211723383,0.00273054516048227,0.00184552148328256,0.00106330569051904,0.000354435230173012,-0.000354435230173024,-0.00106330569051905,-0.00184552148328257,-0.00273054516048228,-0.00374379211723384
0.0008,-0.128300408563092,0.00294398166208063,-0.00147199083104032,-0.00107360059375871,-0.000725625413167194,-0.000418072419094016,-0.000139357473031345,0.000139357473031325,0.000418072419094003,0.000725625413167172,0.00107360059375871,0.0014719908310403
0.0009,-0.15964571163225,0.0197034111700412,-0.00985170558502062,-0.00718536878258885,-0.00485644868486025,-0.00279806524556996,-0.000932688415189996,0.000932688415189967,0.00279806524556993,0.00485644868486021,0.00718536878258881,0.00985170558502061
0.001,-0.193071229459025,0.0308504556428125,-0.0154252278214063,-0.0112504326784571,-0.0076039449941379,-0.00438104788045039,-0.00146034929348347,0.00146034929348343,0.00438104788045035,0.00760394499413792,0.011250432678457,0.0154252278214063
0.0011,-0.22888517718604,0.031401039600192,-0.015700519800096,-0.0114512176463698,-0.00773965158385706,-0.00445923585625907,-0.00148641195208637,0.00148641195208632,0.00445923585625902,0.00773965158385703,0.0114512176463698,0.015700519800096
0.0012,-0.266764289503667,0.0247565652894754,-0.0123782826447377,-0.00902813476610549,-0.00610193777636517,-0.00351565951389625,-0.0011718865046321,0.00117188650463204,0.00351565951389619,0.00610193777636509,0.00902813476610545,0.0123782826447377
0.0013,-0.305477105903752,0.00972643597441453,-0.00486321798720727,-0.00354700152238981,-0.00239734819461846,-0.00138124318821765,-0.000460414396072565,0.000460414396072509,0.00138124318821761,0.00239734819461839,0.00354700152238973,0.00486321798720726
0.0014,-0.343793620695941,0.015146446035352,0.00757322301767598,0.00552355120493364,0.0037332590430095,0.00215093436764179,0.000716978122547241,-0.000716978122547302,-0.00215093436764185,-0.00373325904300958,-0.00552355120493368,-0.00757322301767601
0.0015,-0.38138309866791,0.0478425558432387,0.0239212779216194,0.0174470503746054,0.0117921163701099,0.0067940820809621,0.00226469402698736,-0.0022646940269874,-0.00679408208096214,-0.0117921163701099,-0.0174470503746054,-0.0239212779216193
0.0016,-0.418494877786606,0.0899256670692171,0.0449628335346085,0.0327937672992934,0.0221646588910201,0.0127702701598011,0.00425675671993371,-0.00425675671993374,-0.0127702701598012,-0.0221646588910201,-0.0327937672992935,-0.0449628335346086
0.0017,-0.455343803581591,0.140885236663674,0.0704426183318369,0.0513775189846321,0.0347250492012186,0.0200069968047923,0.00666899893493074,-0.00666899893493079,-0.0200069968047923,-0.0347250492012186,-0.0513775189846322,-0.070442618331837
0.0018,-0.492341714504313,0.198078610275948,0.0990393051379741,0.0722345917918742,0.0488219323076512,0.0281289808409741,0.00937632694699136,-0.00937632694699139,-0.0281289808409741,-0.0488219323076512,-0.0722345917918742,-0.0990393051379741
