time_s,w_center_mm,theta_span_K,theta_layer_01_K,theta_layer_02_K,theta_layer_03_K,theta_layer_04_K,theta_layer_05_K,theta_layer_06_K,theta_layer_07_K,theta_layer_08_K,theta_layer_09_K,theta_layer_10_K
0,0,0,0,0,0,0,0,0,0,0,0,0
0.0001,-0.00116788194653787,0.000161179968434424,9.7486453636584e-05,7.1535470543777e-05,4.57201692177308e-05,2.17368263306015e-05,5.73094490783245e-07,-1.74493343895711e-05,-3.24738762265427e-05,-4.48707695539077e-05,-5.51357725879672e-05,-6.36935147978402e-05
0.0002,-0.00593584956141897,0.000818915881915928,0.000494811345281702,0.000362925066825601,0.000231742810574607,0.000109881305607686,2.3553786103674e-06,-8.92032694747543e-05,-0.000165526830535161,-0.000228498193768392,-0.00028063807602792,-0.000324104536634226
0.0003,-0.0158415051524622,0.00225189457061094,0.00136054459895673,0.000997869244843339,0.000637133160484957,0.000302030674796581,6.35107868699803e-06,-0.000245419316603544,-0.000455294726494146,-0.000628453217656846,-0.000771826807179812,-0.000891349971654213
0.0004,-0.0311291059708474,0.00443506750290584,0.00268019020599978,0.00196595229073629,0.00125551528469824,0.000595546819961067,1.32086874977196e-05,-0.000482659955165713,-0.000896021626076361,-0.00123707217489736,-0.00151946170938477,-0.00175487729690606
0.0005,-0.0509121903414343,0.00532259491367234,0.00319802042204233,0.00233951232579296,0.00148611583577675,0.000693776094621802,-5.02947402042345e-06,-0.000599795570696598,-0.00109541019161383,-0.0015041770200926,-0.00184254873755244,-0.00212457449163002
0.0006,-0.0735518951198993,0.000602648305262441,-0.000475010443241659,-0.000385975933303592,-0.000294166095910156,-0.000206289823610026,-0.000126755283535387,-5.73782318390913e-05,1.58675848070894e-06,5.1121292195979e-05,9.26554735386169e-05,0.000127637862020782
0.0007,-0.0983136808189519,0.0155873531870925,-0.00970681051410888,-0.00721734353107203,-0.0047327071497987,-0.00241787027311555,-0.000370153326080265,0.00137778545735766,0.00283781820026395,0.00404473272913106,0.00504540302335873,0.00588054267298361
0.0008,-0.125234684169221,0.0282930504538593,-0.0175228306369655,-0.0129971620146002,-0.0084831214405018,-0.00427982934145238,-0.000563311574482525,0.0026076869839249,0.00525540472251266,0.00744333686592453,0.00925693469559267,0.0107702198168938
0.0009,-0.154104359796901,0.0233857556548649,-0.0145321846459905,-0.0107949883715617,-0.00706595952645436,-0.00359249874360537,-0.0005204156659274,0.00210146425456402,0.00429117444889759,0.00610102007575579,0.00760144502182758,0.00885357100887446
