time_s,w_center_mm,theta_span_K,theta_layer_01_K,theta_layer_02_K,theta_layer_03_K,theta_layer_04_K,theta_layer_05_K,theta_layer_06_K,theta_layer_07_K,theta_layer_08_K,theta_layer_09_K,theta_layer_10_K
0,0,0,0,0,0,0,0,0,0,0,0,0
0.0001,-0.00111915932079275,0.000112800222268337,5.64001111341683e-05,4.38667531043531e-05,3.13333950745383e-05,1.88000370447229e-05,6.2666790149076e-06,-6.26667901490767e-06,-1.8800037044723e-05,-3.13333950745379e-05,-4.3866753104353e-05,-5.64001111341684e-05
0.0002,-0.00565460667270144,0.000557913927369579,0.000278956963684789,0.000216966527310393,0.000154976090935995,9.29856545615973e-05,3.09952181871987e-05,-3.09952181871994e-05,-9.29856545615974e-05,-0.000154976090935994,-0.000216966527310392,-0.000278956963684789
0.0003,-0.0150411762658958,0.00149271977260469,0.000746359886302347,0.00058050213379071,0.000414644381279082,0.000248786628767448,8.29288762558153e-05,-8.29288762558177e-05,-0.000248786628767451,-0.000414644381279083,-0.000580502133790713,-0.000746359886302346
0.0004,-0.0297820448732032,0.00317163234056849,0.00158581617028425,0.00123341257688774,0.000881008983491243,0.000528605390094747,0.000176201796698247,-0.000176201796698252,-0.000528605390094749,-0.000881008983491245,-0.00123341257688775,-0.00158581617028424
0.0005,-0.0496513043179583,0.00560255715184554,0.00280127857592276,0.0021787722257177,0.00155626587551264,0.000933759525307583,0.000311253175102527,-0.000311253175102532,-0.000933759525307589,-0.00155626587551264,-0.00217877222571771,-0.00280127857592277
0.0006,-0.0732413427134484,0.00650099124318806,0.00325049562159404,0.00252816326123981,0.00180583090088558,0.00108349854053134,0.000361166180177115,-0.000361166180177119,-0.00108349854053134,-0.00180583090088557,-0.00252816326123981,-0.00325049562159402
0.0007,-0.0993345295077081,0.000619149981673414,0.000309574990836708,0.000240780548428549,0.000171986106020386,0.000103191663612238,3.43972212040804e-05,-3.43972212040801e-05,-0.000103191663612237,-0.000171986106020384,-0.000240780548428539,-0.000309574990836707
0.0008,-0.127657876951508,0.0133078088041047,-0.00665390440205233,-0.00517525897937402,-0.00369661355669575,-0.00221796813401743,-0.000739322711339139,0.000739322711339149,0.00221796813401744,0.00369661355669574,0.00517525897937402,0.00665390440205232
0.0009,-0.158110444996044,0.0256796391337728,-0.0128398195668864,-0.00998652632980053,-0.00713323309271466,-0.00427993985562879,-0.00142664661854293,0.00142664661854294,0.0042799398556288,0.00713323309271467,0.00998652632980055,0.0128398195668864
0.001,-0.190734373666506,0.0264880578512625,-0.0132440289256312,-0.0103009113866021,-0.00735779384757288,-0.00441467630854374,-0.00147155876951457,0.00147155876951459,0.00441467630854376,0.00735779384757293,0.0103009113866021,0.0132440289256313
0.0011,-0.225333628575714,0.017296144697577,-0.00864807234878846,-0.00672627849350215,-0.00480448463821583,-0.00288269078292949,-0.000960896927643145,0.000960896927643179,0.00288269078292949,0.00480448463821585,0.00672627849350218,0.00864807234878854
