time_s,w_center_mm,theta_span_K,theta_layer_01_K,theta_layer_02_K,theta_layer_03_K,theta_layer_04_K,theta_layer_05_K,theta_layer_06_K,theta_layer_07_K,theta_layer_08_K,theta_layer_09_K,theta_layer_10_K
0,0,0,0,0,0,0,0,0,0,0,0,0
0.0001,-0.00115569131429643,0.000154285923522618,9.13888152188456e-05,6.15919540566426e-05,3.74701228827128e-05,1.72966034413706e-05,-4.21161955950539e-08,-1.52565189860467e-05,-2.8835856490016e-05,-4.11414479760808e-05,-5.24432191879557e-05,-6.28971083037723e-05
0.0002,-0.00586839965088045,0.000780069578002205,0.000461356976575629,0.000310717780112257,0.000188765390422566,8.67711251598588e-05,-8.9309998655157e-07,-7.78193886795711e-05,-0.000146480208610757,-0.000208702461982234,-0.000265850689516498,-0.000318712601426576
0.0003,-0.0156590980553441,0.00214425398687753,0.00126747452128161,0.000853411426726024,0.000518196454930209,0.000237837817956535,-3.13312691025088e-06,-0.000214590250724754,-0.000403328684089623,-0.000574370284695721,-0.000731465696707826,-0.000876779465595921
0.0004,-0.0308304985575756,0.00433829704908609,0.00256543629975684,0.0017276750862067,0.00104945016347392,0.000482218466183883,-5.31921557903535e-06,-0.000433140039735636,-0.000814993830092396,-0.00116104080028767,-0.00147886963321648,-0.00177286074932925
0.0005,-0.0506109290803558,0.00578299862160143,0.00340635177481373,0.00228986765628849,0.00138593038558706,0.000629862025498318,-2.00247908222575e-05,-0.000590357976546381,-0.00109944360887991,-0.00156082673764374,-0.00198461928769025,-0.0023766468467877
0.0006,-0.073376367102881,0.00128898851866286,0.000667335438460397,0.000420268860006098,0.000219776356348509,5.16509303743635e-05,-9.31603749132651e-05,-0.000220579957152147,-0.000334533181773463,-0.000438048544627112,-0.000533353350596376,-0.000621653080202465
0.0007,-0.098298386596379,0.0127234510982763,-0.00779320533723187,-0.00533095897747563,-0.00333895060057907,-0.00167419913477956,-0.000244209930547557,0.00100964386131473,0.00212814182978164,0.00314105452723745,0.0040707160348426,0.00493024576104446
0.0008,-0.125385332934697,0.0272919886919853,-0.0165688054634892,-0.0112901274684287,-0.00701882926924023,-0.0034485506932569,-0.000381273270862754,0.00230873791974598,0.00470870668340108,0.00688250640250822,0.008878001302549,0.010723183228496
0.0009,-0.154499072365047,0.0267502721266331,-0.0162624862661079,-0.011088145207758,-0.00690138510584716,-0.00340187536325625,-0.000395469354713475,0.00224107527265136,0.00459328904012295,0.00672377520521015,0.00867945445967531,0.0104877858605252
0.001,-0.185199022072534,0.00900467101027837,-0.00563946091484153,-0.00389445904757048,-0.00248333613260494,-0.00130461889959715,-0.000292524493808716,0.000594455851916873,0.00138539182994632,0.00210134003836082,0.00275814266075512,0.00336521009543684
0.0011,-0.21636098345854,0.0195936004258527,0.011536000976392,0.00775329918647221,0.00469069032138371,0.0021290483869543,-7.28557017316895e-05,-0.0020052402819271,-0.00373012012998776,-0.005293388282021,-0.00672930383972163,-0.00805759944946072
0.0012,-0.246812369765776,0.0612411199037833,0.0366046296680719,0.0247708686307448,0.0151925833255144,0.00718363296652195,0.000301172261633084,-0.00573685844235958,-0.0111252143180656,-0.0160072810810286,-0.0204902962975422,-0.0246364902357115
0.0013,-0.27659714880375,0.116833953589266,0.0700320024440282,0.0474520408604101,0.0291767401636418,0.013896649178665,0.000766404465786704,-0.0107521264603888,-0.0210308267001786,-0.0303432228429212,-0.0388939569358855,-0.0468019511452383
0.0014,-0.306354875664072,0.181947074674294,0.109184832954998,0.0740183614618427,0.0455566683216238,0.0217602475995452,0.00131228374152406,-0.0166252812504528,-0.032631793313306,-0.0471332064656033,-0.0604482480709396,-0.0727622417192962
0.0015,-0.336238761913316,0.255161167431205,0.153262030008355,0.103942076818222,0.0640260909885609,0.0306535617873048,0.00197742810811888,-0.023177615830138,-0.0456242797366522,-0.0659599036935261,-0.0846315095522796,-0.101899137422851
