time_s,w_center_mm,theta_span_K,theta_layer_01_K,theta_layer_02_K,theta_layer_03_K,theta_layer_04_K,theta_layer_05_K,theta_layer_06_K,theta_layer_07_K,theta_layer_08_K,theta_layer_09_K,theta_layer_10_K
0,0,0,0,0,0,0,0,0,0,0,0,0
0.0001,-0.00115338379758806,0.000117657734060224,5.88288670301119e-05,5.00696731919341e-05,3.99445018775901e-05,2.75392004686646e-05,1.10244079675717e-05,-1.10244079675719e-05,-2.75392004686647e-05,-3.99445018775902e-05,-5.00696731919343e-05,-5.88288670301119e-05
0.0002,-0.00584668935728411,0.000589979629343791,0.000294989814671895,0.000251067959680594,0.000200296585688115,0.00013809179154012,5.52804809509035e-05,-5.52804809509052e-05,-0.00013809179154012,-0.000200296585688116,-0.000251067959680594,-0.000294989814671896
0.0003,-0.0155904289088726,0.00161221823999709,0.000806109119998542,0.000686085288277023,0.000547343997647323,0.000377358969770669,0.000151063181289814,-0.000151063181289819,-0.000377358969770677,-0.000547343997647326,-0.000686085288277026,-0.000806109119998549
0.0004,-0.0307787995329435,0.00336435708278961,0.0016821785413948,0.00143171429385188,0.00114219068456296,0.000787468030819718,0.000315236778317326,-0.000315236778317341,-0.000787468030819732,-0.00114219068456297,-0.00143171429385189,-0.00168217854139481
0.0005,-0.0508291759438526,0.00513110765820659,0.00256555382910328,0.00218356137495843,0.00174199801759262,0.0012009971427235,0.000480779479576291,-0.000480779479576316,-0.00120099714272353,-0.00174199801759264,-0.00218356137495844,-0.0025655538291033
0.0006,-0.0741472966947401,0.00334787789959331,0.00167393894979665,0.00142470151799231,0.00113659604372284,0.000783610880813995,0.00031369269589911,-0.000313692695899144,-0.000783610880814022,-0.00113659604372288,-0.00142470151799232,-0.00167393894979665
0.0007,-0.0997389958776876,0.00617752270392731,-0.00308876135196366,-0.00262886707271683,-0.00209725326785211,-0.00144592310486028,-0.000578827486871158,0.00057882748687112,0.00144592310486024,0.00209725326785208,0.00262886707271679,0.00308876135196365
0.0008,-0.127531717344023,0.0194671895769825,-0.00973359478849125,-0.00828433275441143,-0.00660906141717091,-0.00455652865155136,-0.00182405552506108,0.00182405552506104,0.00455652865155133,0.00660906141717085,0.00828433275441142,0.00973359478849123
0.0009,-0.15745392355303,0.0242698387893598,-0.0121349193946799,-0.010328117452799,-0.00823954862664771,-0.00568064616491973,-0.00227405878804494,0.00227405878804487,0.00568064616491968,0.00823954862664762,0.0103281174527989,0.0121349193946799
0.001,-0.189307791123535,0.0156410657926653,-0.0078205328963327,-0.00665611197485274,-0.00531010211026872,-0.00366097859905502,-0.00146555168449631,0.00146555168449621,0.00366097859905493,0.00531010211026867,0.00665611197485269,0.00782053289633265
0.0011,-0.222235183148368,0.00175470271912313,0.000877351359561511,0.000746720072396762,0.000595717116417897,0.000410709166981795,0.000164413829587363,-0.00016441382958751,-0.00041070916698189,-0.000595717116418043,-0.000746720072396882,-0.000877351359561616
0.0012,-0.254832425469889,0.0281664281518853,0.0140832140759426,0.0119863251133762,0.00956243081837779,0.00659268952913853,0.00263916518039291,-0.00263916518039313,-0.00659268952913869,-0.00956243081837792,-0.0119863251133762,-0.0140832140759427
0.0013,-0.286594363506309,0.0656634124436088,0.0328317062218044,0.0279433020530195,0.0222925617477908,0.015369307365851,0.00615259381887062,-0.00615259381887095,-0.0153693073658512,-0.0222925617477911,-0.0279433020530197,-0.0328317062218045
0.0014,-0.31801551278826,0.111516433232297,0.0557582166161483,0.0474562204692236,0.037859545844641,0.0261017555272883,0.0104489744330111,-0.0104489744330115,-0.0261017555272886,-0.0378595458446413,-0.0474562204692239,-0.0557582166161486
0.0015,-0.349527865193738,0.165006422155469,0.0825032110777343,0.0702190782262201,0.0560192612262092,0.0386217274593322,0.0154609310611075,-0.015460931061108,-0.0386217274593325,-0.0560192612262096,-0.0702190782262205,-0.0825032110777347
0.0016,-0.381042179984752,0.223674328925989,0.111837164462994,0.095185417603037,0.0759368665656917,0.0523536530189667,0.0209580532350788,-0.0209580532350795,-0.0523536530189672,-0.0759368665656921,-0.0951854176030374,-0.111837164462995
0.0017,-0.412302181917491,0.282548557278363,0.141274278639181,0.120239557873338,0.0959245175581825,0.0661338706135369,0.0264745075278355,-0.0264745075278363,-0.0661338706135376,-0.0959245175581831,-0.120239557873339,-0.141274278639182
0.0018,-0.443199587727505,0.340160540639432,0.170080270319716,0.144756545233909,0.115483639582069,0.0796186446647333,0.0318726907706667,-0.0318726907706676,-0.0796186446647341,-0.11548363958207,-0.14475654523391,-0.170080270319717
0.0019,-0.474369634362595,0.396563786093104,0.198281893046552,0.168759149817338,0.134632398156437,0.092820499145773,0.0371576165219826,-0.0371576165219837,-0.092820499145774,-0.134632398156437,-0.168759149817339,-0.198281893046552
0.002,-0.507262838763548,0.457641035426952,0.228820517713475,0.194750793613935,0.155367969176742,0.107116360160897,0.0428804916017353,-0.0428804916017366,-0.107116360160899,-0.155367969176743,-0.194750793613936,-0.228820517713476
0.0021,-0.542776622096029,0.529469790801594,0.264734895400797,0.225317779593377,0.179753649190422,0.123928739810028,0.0496107716753567,-0.0496107716753581,-0.12392873981003,-0.179753649190423,-0.225317779593378,-0.264734895400798
0.0022,-0.580955421172954,0.607143946287758,0.303571973143879,0.25837229667817,0.206123827695383,0.142109305297315,0.0568887596925129,-0.0568887596925146,-0.142109305297316,-0.206123827695384,-0.25837229667817,-0.303571973143879
0.0023,-0.621625458386094,0.682399088938038,0.341199544469019,0.29039739412381,0.23167275748655,0.159723671886113,0.0639400887093529,-0.0639400887093547,-0.159723671886114,-0.231672757486551,-0.290397394123811,-0.34119954446902
0.0024,-0.664669895379289,0.753262906369409,0.376631453184704,0.320553747280378,0.255730843519311,0.176310196263834,0.0705799550958929,-0.070579955095895,-0.176310196263836,-0.255730843519312,-0.320553747280379,-0.376631453184705
0.0025,-0.710625913730216,0.823337756137067,0.411668878068533,0.350374352401369,0.27952107703412,0.192712053319617,0.0771458960285096,-0.0771458960285119,-0.192712053319619,-0.279521077034122,-0.35037435240137,-0.411668878068534
0.0026,-0.760525304254245,0.890874816218692,0.445437408109346,0.379114991966127,0.302449737396188,0.20851991033393,0.0834740486928227,-0.0834740486928251,-0.208519910333932,-0.30244973739619,-0.379114991966128,-0.445437408109347
0.0027,-0.814502308784384,0.950903916385135,0.475451958192567,0.404660592103226,0.322829464436326,0.222570439494988,0.0890987132798726,-0.0890987132798752,-0.22257043949499,-0.322829464436328,-0.404660592103228,-0.475451958192568
0.0028,-0.871633180030887,1.00455940719628,0.502279703598141,0.427493879785717,0.341045367288508,0.235129149124195,0.094126177263665,-0.0941261772636679,-0.235129149124198,-0.34104536728851,-0.427493879785719,-0.502279703598143
0.0029,-0.931335484885912,1.0537007931991,0.52685039659955,0.448406173881915,0.357728743023521,0.246631278510326,0.098730674296641,-0.098730674296644,-0.246631278510328,-0.357728743023523,-0.448406173881918,-0.526850396599552
0.003,-0.993798755821601,1.10109855534175,0.550549277670876,0.468576462554116,0.373820162886593,0.257725291868975,0.103171795577653,-0.103171795577656,-0.257725291868978,-0.373820162886595,-0.468576462554117,-0.550549277670878
0.0031,-1.05926789038707,1.15341516642436,0.57670758321218,0.490839985137977,0.391581519471522,0.2699706206776,0.108073807915917,-0.108073807915921,-0.269970620677602,-0.391581519471525,-0.490839985137978,-0.576707583212181
0.0032,-1.12775865629463,1.21591799701672,0.607958998508359,0.517438290182066,0.412801071708294,0.284600156043807,0.113930258484866,-0.113930258484869,-0.28460015604381,-0.412801071708296,-0.517438290182068,-0.607958998508361
0.0033,-1.1986248529205,1.28623925419112,0.643119627095557,0.547363754863936,0.436674959911847,0.30105968770148,0.120519287536592,-0.120519287536596,-0.301059687701483,-0.43667495991185,-0.547363754863938,-0.643119627095559
0.0034,-1.27044473679332,1.35871399027062,0.67935699513531,0.578205640262775,0.46127994873412,0.318023266863946,0.127310095334009,-0.127310095334013,-0.318023266863949,-0.461279948734122,-0.578205640262777,-0.679356995135312
0.0035,-1.34238081276548,1.42984814246342,0.714924071231708,0.608477035352327,0.485429812731768,0.33467306632722,0.13397529180804,-0.133975291808044,-0.334673066327223,-0.485429812731771,-0.608477035352331,-0.71492407123171
0.0036,-1.41437222539441,1.50078728191965,0.750393640959825,0.638665442068308,0.509513470400661,0.351277220726112,0.140622215790391,-0.140622215790395,-0.351277220726116,-0.509513470400665,-0.638665442068311,-0.750393640959828
0.0037,-1.48635617576462,1.57710178490102,0.788550892450509,0.671141354124596,0.535422050333591,0.369139543275981,0.147772805774373,-0.147772805774378,-0.369139543275985,-0.535422050333594,-0.671141354124599,-0.788550892450511
0.0038,-1.55815512353329,1.65578886971519,0.827894434857594,0.70462692693917,0.562136115772695,0.387557196992506,0.155145704221714,-0.155145704221719,-0.38755719699251,-0.562136115772699,-0.704626926939174,-0.827894434857596
0.0039,-1.62921951651225,1.73109809256219,0.865549046281094,0.736675038407626,0.587703405653293,0.405184221698433,0.162202100497043,-0.162202100497047,-0.405184221698437,-0.587703405653296,-0.736675038407629,-0.865549046281097
0.004,-1.6988715878206,1.80793620644057,0.903968103220285,0.769373774970121,0.613789750155852,0.423169101643917,0.169401752280413,-0.169401752280418,-0.423169101643921,-0.613789750155856,-0.769373774970124,-0.903968103220288
0.0041,-1.76711307210558,1.89155114077928,0.945775570389638,0.804956411927594,0.642176807992419,0.442740177504933,0.177236385130471,-0.177236385130476,-0.442740177504937,-0.642176807992423,-0.804956411927598,-0.945775570389642
0.0042,-1.83470853511493,1.98140905986681,0.990704529933404,0.843195773567155,0.672683343294816,0.463772498645691,0.185655979193288,-0.185655979193294,-0.463772498645696,-0.67268334329482,-0.843195773567158,-0.990704529933407
0.0043,-1.90204679498093,2.07760931493777,1.03880465746888,0.884134139165101,0.705343085554848,0.486289319411419,0.19466984357677,-0.194669843576776,-0.486289319411424,-0.705343085554853,-0.884134139165105,-1.03880465746888
0.0044,-1.96865308993728,2.17793112666776,1.08896556333388,0.926826448068251,0.739402085832391,0.50977083982892,0.204069893555561,-0.204069893555568,-0.509770839828925,-0.739402085832396,-0.926826448068255,-1.08896556333388
0.0045,-2.03419995595593,2.27522549224689,1.13761274612344,0.968230416340068,0.772433275831045,0.532543750250462,0.21318627496183,-0.213186274961837,-0.532543750250467,-0.772433275831049,-0.968230416340072,-1.13761274612345
0.0046,-2.09864761001191,2.36391230076825,1.18195615038412,1.00597140765329,0.802542222070699,0.553301958950501,0.221496137176081,-0.221496137176087,-0.553301958950506,-0.802542222070704,-1.00597140765329,-1.18195615038413
0.0047,-2.16203279858399,2.44435944035062,1.22217972017531,1.04020597812405,0.829853821633291,0.572131574545132,0.229033950934471,-0.229033950934478,-0.572131574545138,-0.829853821633295,-1.04020597812406,-1.22217972017531
0.0048,-2.22485495089268,2.52185384499854,1.26092692249927,1.07318400159116,0.856162975185214,0.590270067197954,0.236295096484032,-0.236295096484039,-0.59027006719796,-0.856162975185219,-1.07318400159117,-1.26092692249927
0.0049,-2.28749519333252,2.59760183699506,1.29880091849753,1.1054188328541,0.881879226077652,0.607999791073336,0.243392604974775,-0.243392604974782,-0.607999791073342,-0.881879226077657,-1.1054188328541,-1.29880091849753
0.005,-2.34973576321479,2.66936027101395,1.33468013550697,1.13595589332691,0.906241032169662,0.624795711167736,0.250116296010108,-0.250116296010115,-0.624795711167742,-0.906241032169668,-1.13595589332691,-1.33468013550698
0.0051,-2.41137706881979,2.73758207599971,1.36879103799985,1.16498792855591,0.929402161687518,0.64076384092005,0.256508608563587,-0.256508608563595,-0.640763840920056,-0.929402161687524,-1.16498792855592,-1.36879103799986
0.0052,-2.47247300757064,2.80722952052619,1.40361476026309,1.19462664983461,0.953047292208503,0.657065658665097,0.263034502067245,-0.263034502067253,-0.657065658665103,-0.953047292208508,-1.19462664983462,-1.4036147602631
0.0053,-2.53328590172914,2.8844980124263,1.44224900621315,1.22750853531688,0.979279748956333,0.675151273736175,0.270274479826037,-0.270274479826045,-0.675151273736182,-0.979279748956339,-1.22750853531689,-1.44224900621315
0.0054,-2.59432277935171,2.96636445899359,1.48318222949679,1.26234709699538,1.00707319963544,0.694313095113084,0.277945281180678,-0.277945281180687,-0.694313095113092,-1.00707319963545,-1.26234709699539,-1.4831822294968
0.0055,-2.65560893513868,3.04610322714692,1.52305161357346,1.29628021744899,1.03414430889705,0.712976907898863,0.28541672126896,-0.285416721268968,-0.71297690789887,-1.03414430889706,-1.296280217449,-1.52305161357346
0.0056,-2.71636214340784,3.12293657935612,1.56146828967806,1.32897692766599,1.06022903682502,0.730960673318701,0.292615926888854,-0.292615926888863,-0.730960673318709,-1.06022903682503,-1.32897692766599,-1.56146828967806
0.0057,-2.77611665810488,3.19437570182854,1.59718785091427,1.35937810395825,1.08448243745801,0.747681854724986,0.299309698762602,-0.299309698762611,-0.747681854724994,-1.08448243745802,-1.35937810395826,-1.59718785091427
0.0058,-2.83524852431681,3.25854217120121,1.6292710856006,1.38668437648705,1.10626679083527,0.762700784653687,0.305322030564274,-0.305322030564283,-0.762700784653695,-1.10626679083527,-1.38668437648705,-1.62927108560061
0.0059,-2.89403581774808,3.32227078664936,1.66113539332468,1.41380431869867,1.12790249391724,0.777617229632294,0.311293335906167,-0.311293335906177,-0.777617229632302,-1.12790249391725,-1.41380431869867,-1.66113539332468
0.006,-2.95249332254149,3.39008352699078,1.69504176349539,1.44266227499253,1.15092474702731,0.793489612910015,0.31764731952564,-0.317647319525649,-0.793489612910023,-1.15092474702732,-1.44266227499253,-1.69504176349539
0.0061,-3.01049358819644,3.45890460858744,1.72945230429372,1.47194933454525,1.17428932943249,0.809598010523646,0.324095783677625,-0.324095783677635,-0.809598010523654,-1.17428932943249,-1.47194933454526,-1.72945230429373
0.0062,-3.0676131146682,3.52652704886509,1.76326352443254,1.50072630796044,1.19724697615425,0.825425851794438,0.330431936377981,-0.330431936377991,-0.825425851794446,-1.19724697615425,-1.50072630796045,-1.76326352443255
0.0063,-3.12372830581584,3.59547214918542,1.7977360745927,1.53006614412843,1.22065366260111,0.841563277474264,0.33689202095608,-0.33689202095609,-0.841563277474273,-1.22065366260112,-1.53006614412844,-1.79773607459271
