load_case,fg_mode,porosity_name,e0,w_abs_mean_mm,w_abs_ratio_mean,theta_span_mean_K,theta_span_ratio_mean,me_eff_mean,me_eff_ratio_mean
elastic,U,Even,0.0,2.093318197674678,1.0,2.367657548810998,1.0,,
elastic,U,Even,0.1,2.359676015189364,1.1267260626046467,2.703910292410736,1.1419518564420543,,
elastic,U,Even,0.2,2.687996984607774,1.2830444982665192,3.119594349623954,1.3175210269212148,,
elastic,U,Even,0.3,3.1035901388429403,1.4809387886369392,3.6484324276289257,1.5408422457232027,,
elastic,U,Even,0.4,3.651138791382048,1.7417222717726002,4.3468038257914445,1.8358369403732169,,
elastic,U,LogUneven,0.1,2.302285707743442,1.099435628749726,2.631581471018162,1.111441261886735,,
elastic,U,LogUneven,0.2,2.546099922788784,1.2155098218859728,2.938422248010836,1.2410275699366036,,
elastic,U,LogUneven,0.3,2.8361263245750363,1.3536641374126186,3.3033207352333838,1.3951136524723131,,
elastic,U,LogUneven,0.4,3.188878495608972,1.5217303669140674,3.7451988193578116,1.5817383506648905,,
elastic,U,Uneven,0.1,2.1580494720779297,1.0308272921757495,2.448851929905588,1.0342926164269584,,
elastic,U,Uneven,0.2,2.224631691880334,1.0624892002176924,2.532146947684284,1.0694510932996826,,
elastic,U,Uneven,0.3,2.295146902532406,1.0960954990411271,2.620103394104948,1.1066028601688793,,
elastic,U,Uneven,0.4,2.368278234361826,1.1308961766347092,2.711545115633572,1.1452023312429052,,
elastic,X,Even,0.0,1.751414412241364,1.0,2.097326714228804,1.0,,
elastic,X,Even,0.1,1.97253448445642,1.126036199772746,2.394023008939406,1.1414870628885674,,
elastic,X,Even,0.2,2.244719192236126,1.2811747355952068,2.761154503892982,1.3165920331347254,,
elastic,X,Even,0.3,2.590335888590774,1.4782313560374436,3.2282690397775076,1.539372284124203,,
elastic,X,Even,0.4,3.045652893323532,1.737828785806117,3.8456639409651103,1.833803310662443,,
elastic,X,LogUneven,0.1,1.9160255883136759,1.0944026895163754,2.3199020758546505,1.1060856957229543,,
elastic,X,LogUneven,0.2,2.106678300179566,1.2039091217844324,2.577598559688372,1.2289184000156745,,
elastic,X,LogUneven,0.3,2.330863857092626,1.3328882388650825,2.879541419622984,1.3727831805575972,,
elastic,X,LogUneven,0.4,2.60025883792716,1.4881039238322589,3.242633531771992,1.5457851276720973,,
elastic,X,Uneven,0.1,1.809052434594826,1.0325681301360627,2.173460589634984,1.036330007893257,,
elastic,X,Uneven,0.2,1.869258607866216,1.0665612121492845,2.25246216832109,1.07404793834692,,
elastic,X,Uneven,0.3,1.93300475997125,1.1025360665423556,2.3361342213150422,1.1139799798685648,,
elastic,X,Uneven,0.4,1.999911884855648,1.1402955089848326,2.423445056680256,1.1556583580055855,,
electro,U,Even,0.0,0.0433887874406922,1.0,0.18519649887926154,1.0,,
electro,U,Even,0.1,0.03797638119615328,0.8760548893423727,0.16454063756482698,0.8891850303435618,,
electro,U,Even,0.2,0.03282931984298314,0.757942050206269,0.14437726637439136,0.7808528449998657,,
electro,U,Even,0.3,0.02792200016133408,0.6452081144602241,0.12470717332768019,0.6750130675616938,,
electro,U,Even,0.4,0.023266168220008397,0.5380482510701776,0.10552869494762844,0.5717136742925575,,
electro,U,LogUneven,0.1,0.03549378402864336,0.8190774073011383,0.15331051953682392,0.8286735791274576,,
electro,U,LogUneven,0.2,0.028284381959653222,0.6535308463850977,0.12353160896533663,0.6684392365358146,,
electro,U,LogUneven,0.3,0.02175215345934458,0.5031876391554111,0.09603269775602816,0.5200981309581588,,
electro,U,LogUneven,0.4,0.01588704765236278,0.36795133436338784,0.07083566995258538,0.3840196273376111,,
electro,U,Uneven,0.1,0.04369430376869194,1.0069883479117419,0.18721468999908505,1.010916658669855,,
electro,U,Uneven,0.2,0.04400541634730526,1.014129377560098,0.18925527837590866,1.0219874128117212,,
electro,U,Uneven,0.3,0.04432054233704474,1.0213705512491091,0.19128908822765994,1.0330374375104499,,
electro,U,Uneven,0.4,0.04465071311670992,1.0289933454207656,0.19343560263155152,1.0446589088819462,,
electro,X,Even,0.0,0.0343156410087576,1.0,0.15835512513748617,1.0,,
electro,X,Even,0.1,0.030034709183024,0.8758980979616899,0.14073525023014938,0.8892770057985633,,
electro,X,Even,0.2,0.02595696208324714,0.7575502550853607,0.1235525352061985,0.7811850480255883,,
electro,X,Even,0.3,0.02208612761648706,0.6450048104425319,0.10679359221664275,0.675525823620999,,
electro,X,Even,0.4,0.01840581912552338,0.5379622318675155,0.09043313091241272,0.572413985831497,,
electro,X,LogUneven,0.1,0.027910466561982077,0.8155004576938166,0.13044097535194377,0.8252956187190545,,
electro,X,LogUneven,0.2,0.02209766899560306,0.6475130863475448,0.10457926826755175,0.6628743359372482,,
electro,X,LogUneven,0.3,0.01685994815684188,0.49560128984428076,0.08073988775564608,0.5128301802230597,,
electro,X,LogUneven,0.4,0.01220242598438348,0.35995507474807675,0.0591298090554221,0.3764007302374644,,
electro,X,Uneven,0.1,0.03465853915065886,1.009072447449397,0.16051139493535027,1.0131070344324842,,
electro,X,Uneven,0.2,0.03501049002562908,1.018516843201013,0.16271041759615376,1.026436529661698,,
electro,X,Uneven,0.3,0.03538330726717466,1.0284155009556748,0.16498673920468604,1.0402762463897886,,
electro,X,Uneven,0.4,0.0357681016781902,1.038656307757741,0.1673151443490431,1.0543045045431918,,
magneto,U,Even,0.0,0.7336416221694968,1.0,3.892208157614381,1.0,2.785977743013769,1.0
magneto,U,Even,0.1,0.7498474430899368,1.0223414468482876,4.0361339392653885,1.0376619788724666,2.677089475876941,0.9563259384824979
magneto,U,Even,0.2,0.7647194169311406,1.0428425598536475,4.176795885935266,1.0743564694055023,2.5806061914357743,0.9182972296319749
magneto,U,Even,0.3,0.7780179744815506,1.061203262703716,4.314075949026743,1.1102054762679319,2.4943373948967245,0.8850771379627643
magneto,U,Even,0.4,0.7897266260975582,1.0773618956990898,4.447341528055576,1.1447339193094492,2.4161645970285894,0.8552569731609161
magneto,U,LogUneven,0.1,0.7183884866596488,0.9793752946359614,3.854545047752454,0.9908474465500092,2.6532876697210046,0.947097138392788
magneto,U,LogUneven,0.2,0.6949467568187551,0.9475402742888301,3.769024157689347,0.9691478790504316,2.558515478998597,0.9092256230890049
magneto,U,LogUneven,0.3,0.6617923450611614,0.9025014085948874,3.6261183346402914,0.9328179084215883,2.5012584319508355,0.8863126527225633
magneto,U,LogUneven,0.4,0.6160049625666396,0.8401656474376684,3.4080462070889843,0.8768340081366126,2.4856201031578604,0.8786421775221511
magneto,U,Uneven,0.1,0.7500605288046363,1.0224954259440817,3.994629099669973,1.0264841852899322,2.767817557545423,0.9930592007474329
magneto,U,Uneven,0.2,0.7666805890735165,1.0451111757705693,4.09802164092122,1.0532089439609242,2.7451359369600925,0.9844146256168228
magneto,U,Uneven,0.3,0.7841819122562448,1.069137007821909,4.2070499636105545,1.0813490229254816,2.719408011499242,0.9748064285565166
magneto,U,Uneven,0.4,0.8020323910947507,1.0934381037271612,4.318180724482319,1.1100837059493598,2.6899092762287657,0.9638883721020232
magneto,X,Even,0.0,0.6007312861555669,1.0,3.5791380402851942,1.0,1.8944428162141171,1.0
magneto,X,Even,0.1,0.6134801922334623,1.0217737634709991,3.7107910190589615,1.037379882600325,1.7864127572752377,0.940652286353634
magneto,X,Even,0.2,0.6249820588240438,1.0414330480345018,3.8389987531406726,1.073920665181574,1.687124019379589,0.887336502180785
magneto,X,Even,0.3,0.6355166789265863,1.0593876427771667,3.9640083749529467,1.1095102411076938,1.5989995992046935,0.8424303055068503
magneto,X,Even,0.4,0.6448487839017337,1.0753971487717466,4.08647015334381,1.1442543264315934,1.5242484226148296,0.8100418509067298
magneto,X,LogUneven,0.1,0.5857833445622547,0.9743584009962196,3.5345700806053535,0.9860604855696364,1.727221111469308,0.913204840417863
magneto,X,LogUneven,0.2,0.5644421377395064,0.9378984995819234,3.4464557584794804,0.9601472648144928,1.5764368961816535,0.8317797533312247
magneto,X,LogUneven,0.3,0.5347986028709502,0.8874351068293713,3.3033660234220883,0.9182847227805697,1.4397248088219603,0.7537220363023771
magneto,X,LogUneven,0.4,0.4950783852457207,0.820168588006301,3.0924333819183643,0.8576422625073314,1.3178332535928665,0.678795979072057
magneto,X,Uneven,0.1,0.6150230339755343,1.0245462415712054,3.677862547188025,1.028642652239821,1.903369414903171,1.00182579882261
magneto,X,Uneven,0.2,0.629622283600461,1.0497250998570749,3.7775737046031623,1.057887344631857,1.9125274969719421,1.0043496840382553
magneto,X,Uneven,0.3,0.6448946567658469,1.0761149635479204,3.882792099174572,1.0885253021717853,1.9370177039329377,1.0217269107907245
magneto,X,Uneven,0.4,0.6608890239656485,1.103655544464646,3.990861881826948,1.1202823148671972,1.973310269856691,1.060545005630114
