family,case_id,case_label,run_label,point_file,center_err_pct,max_err_pct,mean_err_pct,mean_ratio_comsol_over_matlab,min_ratio_comsol_over_matlab,max_ratio_comsol_over_matlab,mean_diff_w_mm,max_point,max_point_x_m,max_point_y_m,max_point_matlab_w_mm,max_point_comsol_w_mm
porous-best,U_Vf50_e20_Even_elastic,U/Vf0=0.5/e0=0.2/Even,mesh4/sweep7,comsol\results\validation_points_porous_U_Vf05_e20_Even_elastic_layered_csv_sweep7_mesh4.csv,4.980011772490701,6.0025990537283604,4.881036314973915,1.0488103631497392,1.0144937958707037,1.0600259905372835,-0.14657606147992924,p15,0.25,0.25,-5.311767420765305,-5.6306115217004145
porous-orthotropic,U_Vf50_e20_Even_elastic,U/Vf0=0.5/e0=0.2/Even,orthotropic mesh4/sweep7,comsol\results\validation_points_porous_U_Vf05_e20_Even_elastic_orthotropic_sweep7_mesh4.csv,6.37622541423073,7.06580955332025,6.382689289362101,1.0638268928936205,1.0386746172067127,1.070658095533203,-0.17880760555304162,p15,0.25,0.25,-5.3117674207653,-5.68708679063189
porous-refined,U_Vf50_e20_Even_elastic,U/Vf0=0.5/e0=0.2/Even,mesh3/sweep10,comsol\results\validation_points_porous_U_Vf05_e20_Even_elastic_layered_csv_sweep10_mesh3.csv,6.042168086200237,6.7555792636440595,6.098175055220484,1.0609817505522048,1.0352983154615687,1.0675557926364405,-0.17092443111840774,p14,0.2,0.25,-3.8039850943292866,-4.060966322553907
porous-best,U_Vf50_e30_Even_elastic,U/Vf0=0.5/e0=0.3/Even,mesh4/sweep7,comsol\results\validation_points_porous_U_Vf05_e30_Even_elastic_layered_csv_sweep7_mesh4.csv,5.597761970074429,6.59361340031018,5.548991168303776,1.0554899116830376,1.0229126507870727,1.0659361340031017,-0.18807105227607615,p15,0.25,0.25,-6.137067795180106,-6.541722319709222
porous-orthotropic,U_Vf50_e30_Even_elastic,U/Vf0=0.5/e0=0.3/Even,orthotropic mesh4/sweep7,comsol\results\validation_points_porous_U_Vf05_e30_Even_elastic_orthotropic_sweep7_mesh4.csv,6.62557989220743,7.35117745611554,6.634494581498692,1.066344945814987,1.0410680768331753,1.073511774561156,-0.214800173841205,p5,0.25,0.05,-6.13706779496516,-6.58821453917517
porous-refined,U_Vf50_e30_Even_elastic,U/Vf0=0.5/e0=0.3/Even,mesh3/sweep10,comsol\results\validation_points_porous_U_Vf05_e30_Even_elastic_layered_csv_sweep10_mesh3.csv,6.557149933097514,7.268336091858267,6.670960837399799,1.066709608373998,1.0428639004298343,1.0726833609185826,-0.2132744437902784,p13,0.15,0.25,-2.7706808715479876,-2.972063269324923
porous-best,X_Vf50_e20_Even_elastic,X/Vf0=0.5/e0=0.2/Even,mesh4/sweep7,comsol\results\validation_points_porous_X_Vf05_e20_Even_elastic_layered_csv_sweep7_mesh4.csv,4.348739613793092,5.433773002813153,4.279255806489056,1.0427925580648905,1.0071386207584465,1.0543377300281316,-0.11584299993578026,p15,0.25,0.25,-4.684085480723696,-4.938608053003951
porous-orthotropic,X_Vf50_e20_Even_elastic,X/Vf0=0.5/e0=0.2/Even,orthotropic mesh4/sweep7,comsol\results\validation_points_porous_X_Vf05_e20_Even_elastic_orthotropic_sweep7_mesh4.csv,5.90510889577778,6.56986602402028,5.909001651864334,1.0590900165186439,1.034856598481707,1.0656986602402023,-0.14642534239440197,p15,0.25,0.25,-4.6840854807237,-4.99182362125783
porous-refined,X_Vf50_e20_Even_elastic,X/Vf0=0.5/e0=0.2/Even,mesh3/sweep10,comsol\results\validation_points_porous_X_Vf05_e20_Even_elastic_layered_csv_sweep10_mesh3.csv,5.398168726532923,6.171925758160033,5.486523284008116,1.0548652328400812,1.0278794196806624,1.0617192575816004,-0.13703712615529726,p14,0.2,0.25,-3.354866113148122,-3.561925958937293
nonporous-reference,U_Vf06_elastic_layered_csv_sweep7_mesh4,U_Vf06_elastic_layered_csv_sweep7_mesh4,mesh4/sweep7,comsol\results\validation_points_U_Vf06_elastic_layered_csv_sweep7_mesh4.csv,3.770558408506699,4.9267579673978155,3.512811765992273,1.0342937681450357,0.9937423786383469,1.049267579673978,-0.09935324948582007,p15,0.25,0.25,-4.600131825506,-4.826769186729919
nonporous-reference,V_Vf06_elastic_layered_csv_sweep7_mesh4,V_Vf06_elastic_layered_csv_sweep7_mesh4,mesh4/sweep7,comsol\results\validation_points_V_Vf06_elastic_layered_csv_sweep7_mesh4.csv,2.959371025640368,4.189557183203553,2.9576129544906267,1.0277101558379937,0.9860051971981566,1.0418955718320355,-0.06343488997327898,p15,0.25,0.25,-3.500778671183902,-3.6474457954705453
nonporous-reference,X_Vf06_elastic_layered_csv_sweep7_mesh4,X_Vf06_elastic_layered_csv_sweep7_mesh4,mesh4/sweep7,comsol\results\validation_points_X_Vf06_elastic_layered_csv_sweep7_mesh4.csv,2.8390763784725728,4.060158474800659,2.7898970455617165,1.0258138807828876,0.9843618274545293,1.0406015847480066,-0.06789043123065122,p5,0.25,0.05,-3.91169090209031,-4.070511751759536
